clause,q,panel,ladder,stat,rungs,peak,gap,spread,floor,published_set,set_size,decided,content,exp_false,err,price,contentless,note,coarse,M
LONGER_TAPE,0.8,U56,GROSS,DD,10,0.3,1.2859290693538092,11.137235203817976,1.1938432556992673,[0.3],1,9,1.0,0.0,0.0,inf,False,"M=2x tape, PROJECTED floor 1.19384 (was 1.19384)",,2.0
LONGER_TAPE_M4,0.8,U56,GROSS,DD,10,0.3,1.2859290693538092,11.137235203817976,1.1938432556992673,[0.3],1,9,1.0,0.0,0.0,inf,False,"M=4x tape, PROJECTED floor 1.19384 (was 1.19384)",,4.0
LONGER_TAPE_M8,0.8,U56,GROSS,DD,10,0.3,1.2859290693538092,11.137235203817976,1.1938432556992673,[0.3],1,9,1.0,0.0,0.0,inf,False,"M=8x tape, PROJECTED floor 1.19384 (was 1.19384)",,8.0
AS_WRITTEN,0.8,U56,CADENCE,S_FULL,4,W,0.0008674369892938127,0.058865156398083096,0.058865156398083096,"['D', 'W', 'Q']",3,1,0.3333333333333333,0.17600000000000005,0.17600000000000005,5.681818181818181,False,"floor 0.0588652, tie 3 of 4",,
ANNOTATED,0.8,U56,CADENCE,S_FULL,4,W,0.0008674369892938127,0.058865156398083096,0.058865156398083096,['W'],1,3,1.0,0.9,0.3,3.333333333333333,False,"point argmax, gap 0.000867437 vs floor 0.0588652",,
WIDER_RUNGS,0.8,U56,CADENCE,S_FULL,4,Q,0.0008674369892938127,0.058865156398083096,0.058865156398083096,"['D', 'W', 'M', 'Q']",4,0,0.0,0.0,,,True,"coarse 3 of 4 rungs, floor inf, 1 unadjudicated",step2,
WIDER_RUNGS_ENDS,0.8,U56,CADENCE,S_FULL,4,Q,0.0008674369892938127,0.058865156398083096,0.058865156398083096,"['D', 'W', 'M', 'Q']",4,0,0.0,0.0,,,True,"ENDS-ONLY, reported beside, never selected on",ends,
LONGER_TAPE,0.8,U56,CADENCE,S_FULL,4,W,0.0008674369892938127,0.058865156398083096,0.058865156398083096,"['W', 'Q']",2,2,0.6666666666666666,0.233559127614697,0.1167795638073485,8.563142106350922,False,"M=2x tape, PROJECTED floor 0.0419931 (was 0.0588652)",,2.0
LONGER_TAPE_M4,0.8,U56,CADENCE,S_FULL,4,W,0.0008674369892938127,0.058865156398083096,0.058865156398083096,"['W', 'Q']",2,2,0.6666666666666666,0.09423701147427987,0.04711850573713994,21.223083889347027,False,"M=4x tape, PROJECTED floor 0.0411256 (was 0.0588652)",,4.0
LONGER_TAPE_M8,0.8,U56,CADENCE,S_FULL,4,W,0.0008674369892938127,0.058865156398083096,0.058865156398083096,"['W', 'Q']",2,2,0.6666666666666666,0.019430821216453342,0.009715410608226671,102.92925747813838,False,"M=8x tape, PROJECTED floor 0.0411256 (was 0.0588652)",,8.0
AS_WRITTEN,0.8,U56,CADENCE,S_OOS,4,Q,0.008308398644119697,0.09704441230057848,0.08873601365645878,"['D', 'W', 'Q']",3,1,0.3333333333333333,0.14900000000000002,0.14900000000000002,6.711409395973154,False,"floor 0.088736, tie 3 of 4",,
ANNOTATED,0.8,U56,CADENCE,S_OOS,4,Q,0.008308398644119697,0.09704441230057848,0.08873601365645878,['Q'],1,3,1.0,0.909,0.303,3.3003300330033003,False,"point argmax, gap 0.0083084 vs floor 0.088736",,
WIDER_RUNGS,0.8,U56,CADENCE,S_OOS,4,Q,0.008308398644119697,0.09704441230057848,0.08873601365645878,"['D', 'W', 'Q']",3,1,0.3333333333333333,0.14900000000000002,0.14900000000000002,6.711409395973154,False,"coarse 3 of 4 rungs, floor 0.0970444, 1 unadjudicated",step2,
WIDER_RUNGS_ENDS,0.8,U56,CADENCE,S_OOS,4,Q,0.008308398644119697,0.09704441230057848,0.08873601365645878,"['D', 'W', 'M', 'Q']",4,0,0.0,0.0,,,True,"ENDS-ONLY, reported beside, never selected on",ends,
LONGER_TAPE,0.8,U56,CADENCE,S_OOS,4,Q,0.008308398644119697,0.09704441230057848,0.08873601365645878,"['D', 'W', 'Q']",3,1,0.3333333333333333,0.07053513052291671,0.07053513052291671,14.17733252333179,False,"M=2x tape, PROJECTED floor 0.088736 (was 0.088736)",,2.0
LONGER_TAPE_M4,0.8,U56,CADENCE,S_OOS,4,Q,0.008308398644119697,0.09704441230057848,0.08873601365645878,"['D', 'W', 'Q']",3,1,0.3333333333333333,0.01869573823966375,0.01869573823966375,53.488125859532005,False,"M=4x tape, PROJECTED floor 0.088736 (was 0.088736)",,4.0
LONGER_TAPE_M8,0.8,U56,CADENCE,S_OOS,4,Q,0.008308398644119697,0.09704441230057848,0.08873601365645878,"['W', 'Q']",2,2,0.6666666666666666,0.12020929903047672,0.06010464951523836,16.637647970087066,False,"M=8x tape, PROJECTED floor 0.0423681 (was 0.088736)",,8.0
AS_WRITTEN,0.8,U56,CADENCE,CAGR,4,W,0.16042241106593025,0.906597672704823,0.906597672704823,"['D', 'W', 'Q']",3,1,0.3333333333333333,0.14500000000000002,0.14500000000000002,6.896551724137931,False,"floor 0.906598, tie 3 of 4",,
ANNOTATED,0.8,U56,CADENCE,CAGR,4,W,0.16042241106593025,0.906597672704823,0.906597672704823,['W'],1,3,1.0,0.9760000000000001,0.32533333333333336,3.073770491803278,False,"point argmax, gap 0.160422 vs floor 0.906598",,
WIDER_RUNGS,0.8,U56,CADENCE,CAGR,4,D,0.16042241106593025,0.906597672704823,0.906597672704823,"['D', 'W', 'M', 'Q']",4,0,0.0,0.0,,,True,"coarse 3 of 4 rungs, floor inf, 1 unadjudicated",step2,
WIDER_RUNGS_ENDS,0.8,U56,CADENCE,CAGR,4,D,0.16042241106593025,0.906597672704823,0.906597672704823,"['D', 'W', 'M', 'Q']",4,0,0.0,0.0,,,True,"ENDS-ONLY, reported beside, never selected on",ends,
