CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,turnover,panel,form,cadence,family,dial,clause,L_H1,L_H2,L_OOS,L_DD,L_CAGR,fail4b,keep4b,keep4a,IS_keep4b,IS_fail4b,dd_gain_pp,cagr_cost_pp,cash_edge_pp,IS_cash_edge_pp
0.08429619745840466,1.1332694244105408,-0.12272861238799748,1.2440727155640248,1.0210519566435126,1.1128506113961334,0.0857763522401298,-0.07852082245707914,0.08307622438435969,1.1523520140846,-0.12272861238799715,1.591042987642449,B136,MA-DG,M,VT,0.15,VT(0.15),True,True,True,True,False,CAGR,False,False,False,CAGR,0.0,0.0,0.0,0.0
0.08429619745840466,1.1332694244105408,-0.12272861238799748,1.2440727155640248,1.0210519566435126,1.1128506113961334,0.0857763522401298,-0.07852082245707914,0.08307622438435969,1.1523520140846,-0.12272861238799715,1.591042987642449,B136,MA-DG,M,VT,0.2,VT(0.2),True,True,True,True,False,CAGR,False,False,False,CAGR,0.0,0.0,0.0,0.0
0.05157178741571289,0.8281283687320914,-0.09118702455372063,0.8260548088203664,0.8310377518446641,0.6377958844580477,0.041176199829849436,-0.08642937384393234,0.060228838184183786,1.0050984548416122,-0.0911870245537213,2.99985307712646,B136,MA-DG,M,MKT,50.0,MKT(50),False,False,True,True,False,"H1,H2,CAGR",False,False,False,"H1,H2,OOS,CAGR",3.154158783427685,3.2724410042691776,-0.9951200575819621,
0.06572630433262905,0.9848731840813378,-0.11244194664401452,1.1691069864533048,0.7901328954472957,1.018644438994714,0.07212136558724547,-0.08232277543892241,0.06047754009071116,0.9564099948775882,-0.11244194664401397,2.2489653361327866,B136,MA-DG,M,MKT,100.0,MKT(100),True,False,True,True,False,"H2,CAGR",False,False,False,"H2,CAGR",1.028666574398296,1.8569893125775616,-1.105487928676413,
0.07644028373269096,1.114438396144238,-0.10344572534849461,1.2661586118277695,0.9575652433853589,1.1242680334114359,0.0807625793939073,-0.07589584178798203,0.07288634538482075,1.1073175018850854,-0.10344572534849483,1.884360965125288,B136,MA-DG,M,MKT,150.0,MKT(150),True,True,True,True,False,CAGR,False,False,False,CAGR,1.9282887039502872,0.7855913725713703,0.6161816616033128,-0.2017160022496134
0.07435088922787725,1.0688753469465508,-0.10344572534849428,1.2775779620115302,0.8500397548671171,1.1410071233619814,0.08418916360045059,-0.07573955184707415,0.06629915827738508,1.0054240003997303,-0.1034457253484955,1.8665498912154337,B136,MA-DG,M,MKT,200.0,MKT(200),True,True,True,True,False,CAGR,False,False,False,CAGR,1.9282887039503205,0.9945308230527417,0.40724221112196507,0.15878409040853553
0.07477131245587598,1.0694076492908657,-0.09315734614003612,1.1285135267969912,1.0083101160284087,0.9805670399801086,0.07136553737290696,-0.08482115131454859,0.07759006961127213,1.1512282704903711,-0.09315734614003579,1.7586728951506403,B136,MA-DG,M,MKT,250.0,MKT(250),True,True,True,True,False,CAGR,False,False,False,"H1,CAGR",2.957126624796136,0.9524885002528682,1.1852123007028135,
0.06526681381079502,0.9683370359331968,-0.10950102774014725,1.143038499581532,0.7813130577901923,0.9941393731021403,0.07162421362713478,-0.07573955184707426,0.06004880516954447,0.9477027121602996,-0.10950102774014736,1.645776894715829,B136,MA-DG,M,DDSTOP,0.05,DDSTOP(0.05),True,False,True,True,False,"H2,CAGR",False,False,False,"H1,CAGR",1.3227584647850232,1.9029383647609643,-0.9381359081307785,-1.0977109069230577
0.07999400270136703,1.0879195388063152,-0.12272861238799748,1.2440727155640248,0.9273555854424906,1.1128506113961334,0.0857763522401298,-0.07852082245707914,0.07524533726407312,1.0671777864791754,-0.12272861238799715,1.5945996056259308,B136,MA-DG,M,DDSTOP,0.1,DDSTOP(0.1),True,True,True,True,False,CAGR,False,False,False,CAGR,0.0,0.4302194757037636,-0.4302194757037636,0.0
0.08429619745840466,1.1332694244105408,-0.12272861238799748,1.2440727155640248,1.0210519566435126,1.1128506113961334,0.0857763522401298,-0.07852082245707914,0.08307622438435969,1.1523520140846,-0.12272861238799715,1.591042987642449,B136,MA-DG,M,DDSTOP,0.15,DDSTOP(0.15),True,True,True,True,False,CAGR,False,False,False,CAGR,0.0,0.0,0.0,0.0
0.08429619745840466,1.1332694244105408,-0.12272861238799748,1.2440727155640248,1.0210519566435126,1.1128506113961334,0.0857763522401298,-0.07852082245707914,0.08307622438435969,1.1523520140846,-0.12272861238799715,1.591042987642449,B136,MA-DG,M,DDSTOP,0.2,DDSTOP(0.2),True,True,True,True,False,CAGR,False,False,False,CAGR,0.0,0.0,0.0,0.0
