period,D,est,bar,subset,n,was_inside,now_inside,to_inside,to_outside,net,net_vs_RSS,moved_share
IS,12,PAIR_DIRECT,2.0,3PANEL,262,186,197,11,0,11,-7,0.04198473282442748
IS,12,PAIR_DIRECT,2.0,NESTED_PAIR,366,220,226,9,3,6,-4,0.03278688524590164
IS,24,RSS_INDEP,1.0,ALL,607,290,327,37,0,37,0,0.060955518945634266
IS,24,RSS_INDEP,1.0,2PANEL,345,133,142,9,0,9,0,0.02608695652173913
IS,24,RSS_INDEP,1.0,3PANEL,262,157,185,28,0,28,0,0.10687022900763359
IS,24,RSS_INDEP,1.0,NESTED_PAIR,366,183,199,16,0,16,0,0.04371584699453552
IS,24,RSS_INDEP,2.0,ALL,607,347,377,30,0,30,0,0.04942339373970346
IS,24,RSS_INDEP,2.0,2PANEL,345,161,176,15,0,15,0,0.043478260869565216
IS,24,RSS_INDEP,2.0,3PANEL,262,186,201,15,0,15,0,0.05725190839694656
IS,24,RSS_INDEP,2.0,NESTED_PAIR,366,215,228,13,0,13,0,0.03551912568306011
IS,24,PAIR_INDEP,1.0,ALL,607,290,319,29,0,29,-8,0.047775947281713346
IS,24,PAIR_INDEP,1.0,2PANEL,345,133,142,9,0,9,0,0.02608695652173913
IS,24,PAIR_INDEP,1.0,3PANEL,262,157,177,20,0,20,-8,0.07633587786259542
IS,24,PAIR_INDEP,1.0,NESTED_PAIR,366,183,191,8,0,8,-8,0.02185792349726776
IS,24,PAIR_INDEP,2.0,ALL,607,347,368,21,0,21,-9,0.03459637561779242
IS,24,PAIR_INDEP,2.0,2PANEL,345,161,176,15,0,15,0,0.043478260869565216
IS,24,PAIR_INDEP,2.0,3PANEL,262,186,192,6,0,6,-9,0.022900763358778626
IS,24,PAIR_INDEP,2.0,NESTED_PAIR,366,215,220,5,0,5,-8,0.01366120218579235
IS,24,PAIR_SEED,1.0,ALL,607,290,292,10,8,2,-35,0.029654036243822075
IS,24,PAIR_SEED,1.0,2PANEL,345,133,137,4,0,4,-5,0.011594202898550725
IS,24,PAIR_SEED,1.0,3PANEL,262,157,155,6,8,-2,-30,0.05343511450381679
IS,24,PAIR_SEED,1.0,NESTED_PAIR,366,183,175,0,8,-8,-24,0.02185792349726776
IS,24,PAIR_SEED,2.0,ALL,607,347,365,18,0,18,-12,0.029654036243822075
IS,24,PAIR_SEED,2.0,2PANEL,345,161,173,12,0,12,-3,0.034782608695652174
IS,24,PAIR_SEED,2.0,3PANEL,262,186,192,6,0,6,-9,0.022900763358778626
IS,24,PAIR_SEED,2.0,NESTED_PAIR,366,215,218,3,0,3,-10,0.00819672131147541
IS,24,PAIR_COUPLED,1.0,ALL,607,290,313,23,0,23,-14,0.03789126853377265
IS,24,PAIR_COUPLED,1.0,2PANEL,345,133,142,9,0,9,0,0.02608695652173913
IS,24,PAIR_COUPLED,1.0,3PANEL,262,157,171,14,0,14,-14,0.05343511450381679
IS,24,PAIR_COUPLED,1.0,NESTED_PAIR,366,183,185,2,0,2,-14,0.00546448087431694
IS,24,PAIR_COUPLED,2.0,ALL,607,347,366,19,0,19,-11,0.03130148270181219
IS,24,PAIR_COUPLED,2.0,2PANEL,345,161,172,11,0,11,-4,0.03188405797101449
IS,24,PAIR_COUPLED,2.0,3PANEL,262,186,194,8,0,8,-7,0.030534351145038167
IS,24,PAIR_COUPLED,2.0,NESTED_PAIR,366,215,215,0,0,0,-13,0.0
IS,24,PAIR_DIRECT,1.0,ALL,607,290,312,22,0,22,-15,0.036243822075782535
IS,24,PAIR_DIRECT,1.0,2PANEL,345,133,143,10,0,10,1,0.028985507246376812
IS,24,PAIR_DIRECT,1.0,3PANEL,262,157,169,12,0,12,-16,0.04580152671755725
IS,24,PAIR_DIRECT,1.0,NESTED_PAIR,366,183,189,6,0,6,-10,0.01639344262295082
IS,24,PAIR_DIRECT,2.0,ALL,607,347,368,21,0,21,-9,0.03459637561779242
IS,24,PAIR_DIRECT,2.0,2PANEL,345,161,173,12,0,12,-3,0.034782608695652174
IS,24,PAIR_DIRECT,2.0,3PANEL,262,186,195,9,0,9,-6,0.03435114503816794
IS,24,PAIR_DIRECT,2.0,NESTED_PAIR,366,215,217,2,0,2,-11,0.00546448087431694
OOS,3,RSS_INDEP,1.0,ALL,607,260,306,54,8,46,0,0.10214168039538715
OOS,3,RSS_INDEP,1.0,2PANEL,345,120,123,11,8,3,0,0.05507246376811594
OOS,3,RSS_INDEP,1.0,3PANEL,262,140,183,43,0,43,0,0.16412213740458015
OOS,3,RSS_INDEP,1.0,NESTED_PAIR,366,159,183,32,8,24,0,0.1092896174863388
OOS,3,RSS_INDEP,2.0,ALL,607,314,354,48,8,40,0,0.09225700164744646
OOS,3,RSS_INDEP,2.0,2PANEL,345,143,152,17,8,9,0,0.07246376811594203
OOS,3,RSS_INDEP,2.0,3PANEL,262,171,202,31,0,31,0,0.1183206106870229
OOS,3,RSS_INDEP,2.0,NESTED_PAIR,366,197,200,11,8,3,0,0.05191256830601093
OOS,3,PAIR_INDEP,1.0,ALL,607,260,258,22,24,-2,-48,0.0757825370675453
OOS,3,PAIR_INDEP,1.0,2PANEL,345,120,123,11,8,3,0,0.05507246376811594
OOS,3,PAIR_INDEP,1.0,3PANEL,262,140,135,11,16,-5,-48,0.10305343511450382
OOS,3,PAIR_INDEP,1.0,NESTED_PAIR,366,159,135,0,24,-24,-48,0.06557377049180328
OOS,3,PAIR_INDEP,2.0,ALL,607,314,320,36,30,6,-34,0.10873146622734761
OOS,3,PAIR_INDEP,2.0,2PANEL,345,143,152,17,8,9,0,0.07246376811594203
OOS,3,PAIR_INDEP,2.0,3PANEL,262,171,168,19,22,-3,-34,0.15648854961832062
OOS,3,PAIR_INDEP,2.0,NESTED_PAIR,366,197,167,0,30,-30,-33,0.08196721311475409
OOS,3,PAIR_SEED,1.0,ALL,607,260,261,31,30,1,-45,0.10049423393739704
OOS,3,PAIR_SEED,1.0,2PANEL,345,120,123,14,11,3,0,0.07246376811594203
OOS,3,PAIR_SEED,1.0,3PANEL,262,140,138,17,19,-2,-45,0.13740458015267176
OOS,3,PAIR_SEED,1.0,NESTED_PAIR,366,159,129,0,30,-30,-54,0.08196721311475409
OOS,3,PAIR_SEED,2.0,ALL,607,314,315,36,35,1,-39,0.11696869851729819
OOS,3,PAIR_SEED,2.0,2PANEL,345,143,148,16,11,5,-4,0.0782608695652174
OOS,3,PAIR_SEED,2.0,3PANEL,262,171,167,20,24,-4,-35,0.16793893129770993
OOS,3,PAIR_SEED,2.0,NESTED_PAIR,366,197,162,0,35,-35,-38,0.09562841530054644
OOS,3,PAIR_COUPLED,1.0,ALL,607,260,259,25,26,-1,-47,0.08401976935749589
OOS,3,PAIR_COUPLED,1.0,2PANEL,345,120,126,14,8,6,3,0.06376811594202898
OOS,3,PAIR_COUPLED,1.0,3PANEL,262,140,133,11,18,-7,-50,0.11068702290076336
OOS,3,PAIR_COUPLED,1.0,NESTED_PAIR,366,159,133,0,26,-26,-50,0.07103825136612021
OOS,3,PAIR_COUPLED,2.0,ALL,607,314,303,33,44,-11,-51,0.12685337726523888
OOS,3,PAIR_COUPLED,2.0,2PANEL,345,143,145,15,13,2,-7,0.08115942028985507
OOS,3,PAIR_COUPLED,2.0,3PANEL,262,171,158,18,31,-13,-44,0.18702290076335878
OOS,3,PAIR_COUPLED,2.0,NESTED_PAIR,366,197,153,0,44,-44,-47,0.12021857923497267
OOS,3,PAIR_DIRECT,1.0,ALL,607,260,269,16,7,9,-37,0.03789126853377265
OOS,3,PAIR_DIRECT,1.0,2PANEL,345,120,128,8,0,8,5,0.02318840579710145
OOS,3,PAIR_DIRECT,1.0,3PANEL,262,140,141,8,7,1,-42,0.05725190839694656
OOS,3,PAIR_DIRECT,1.0,NESTED_PAIR,366,159,153,1,7,-6,-30,0.02185792349726776
OOS,3,PAIR_DIRECT,2.0,ALL,607,314,344,32,2,30,-10,0.05601317957166392
OOS,3,PAIR_DIRECT,2.0,2PANEL,345,143,158,16,1,15,6,0.04927536231884058
OOS,3,PAIR_DIRECT,2.0,3PANEL,262,171,186,16,1,15,-16,0.0648854961832061
OOS,3,PAIR_DIRECT,2.0,NESTED_PAIR,366,197,198,3,2,1,-2,0.01366120218579235
OOS,6,RSS_INDEP,1.0,ALL,607,258,292,34,0,34,0,0.05601317957166392
OOS,6,RSS_INDEP,1.0,2PANEL,345,120,124,4,0,4,0,0.011594202898550725
OOS,6,RSS_INDEP,1.0,3PANEL,262,138,168,30,0,30,0,0.11450381679389313
OOS,6,RSS_INDEP,1.0,NESTED_PAIR,366,159,183,24,0,24,0,0.06557377049180328
OOS,6,RSS_INDEP,2.0,ALL,607,314,351,37,0,37,0,0.060955518945634266
OOS,6,RSS_INDEP,2.0,2PANEL,345,143,154,11,0,11,0,0.03188405797101449
OOS,6,RSS_INDEP,2.0,3PANEL,262,171,197,26,0,26,0,0.09923664122137404
OOS,6,RSS_INDEP,2.0,NESTED_PAIR,366,197,207,10,0,10,0,0.0273224043715847
OOS,6,PAIR_INDEP,1.0,ALL,607,258,267,10,1,9,-25,0.018121911037891267
OOS,6,PAIR_INDEP,1.0,2PANEL,345,120,124,4,0,4,0,0.011594202898550725
OOS,6,PAIR_INDEP,1.0,3PANEL,262,138,143,6,1,5,-25,0.026717557251908396
OOS,6,PAIR_INDEP,1.0,NESTED_PAIR,366,159,158,0,1,-1,-25,0.00273224043715847
OOS,6,PAIR_INDEP,2.0,ALL,607,314,339,26,1,25,-12,0.044481054365733116
OOS,6,PAIR_INDEP,2.0,2PANEL,345,143,154,11,0,11,0,0.03188405797101449
OOS,6,PAIR_INDEP,2.0,3PANEL,262,171,185,15,1,14,-12,0.061068702290076333
OOS,6,PAIR_INDEP,2.0,NESTED_PAIR,366,197,196,0,1,-1,-11,0.00273224043715847
OOS,6,PAIR_SEED,1.0,ALL,607,258,285,28,1,27,-7,0.047775947281713346
OOS,6,PAIR_SEED,1.0,2PANEL,345,120,137,17,0,17,13,0.04927536231884058
OOS,6,PAIR_SEED,1.0,3PANEL,262,138,148,11,1,10,-20,0.04580152671755725
OOS,6,PAIR_SEED,1.0,NESTED_PAIR,366,159,170,12,1,11,-13,0.03551912568306011
OOS,6,PAIR_SEED,2.0,ALL,607,314,352,38,0,38,1,0.06260296540362438
OOS,6,PAIR_SEED,2.0,2PANEL,345,143,161,18,0,18,7,0.05217391304347826
OOS,6,PAIR_SEED,2.0,3PANEL,262,171,191,20,0,20,-6,0.07633587786259542
OOS,6,PAIR_SEED,2.0,NESTED_PAIR,366,197,210,13,0,13,3,0.03551912568306011
OOS,6,PAIR_COUPLED,1.0,ALL,607,258,258,8,8,0,-34,0.026359143327841845
OOS,6,PAIR_COUPLED,1.0,2PANEL,345,120,124,5,1,4,0,0.017391304347826087
OOS,6,PAIR_COUPLED,1.0,3PANEL,262,138,134,3,7,-4,-34,0.03816793893129771
OOS,6,PAIR_COUPLED,1.0,NESTED_PAIR,366,159,151,0,8,-8,-32,0.02185792349726776
OOS,6,PAIR_COUPLED,2.0,ALL,607,314,335,24,3,21,-16,0.044481054365733116
OOS,6,PAIR_COUPLED,2.0,2PANEL,345,143,152,10,1,9,-2,0.03188405797101449
OOS,6,PAIR_COUPLED,2.0,3PANEL,262,171,183,14,2,12,-14,0.061068702290076333
OOS,6,PAIR_COUPLED,2.0,NESTED_PAIR,366,197,194,0,3,-3,-13,0.00819672131147541
OOS,6,PAIR_DIRECT,1.0,ALL,607,258,268,11,1,10,-24,0.019769357495881382
OOS,6,PAIR_DIRECT,1.0,2PANEL,345,120,126,6,0,6,2,0.017391304347826087
OOS,6,PAIR_DIRECT,1.0,3PANEL,262,138,142,5,1,4,-26,0.022900763358778626
OOS,6,PAIR_DIRECT,1.0,NESTED_PAIR,366,159,162,4,1,3,-21,0.01366120218579235
OOS,6,PAIR_DIRECT,2.0,ALL,607,314,337,23,0,23,-14,0.03789126853377265
OOS,6,PAIR_DIRECT,2.0,2PANEL,345,143,155,12,0,12,1,0.034782608695652174
OOS,6,PAIR_DIRECT,2.0,3PANEL,262,171,182,11,0,11,-15,0.04198473282442748
OOS,6,PAIR_DIRECT,2.0,NESTED_PAIR,366,197,200,3,0,3,-7,0.00819672131147541
OOS,12,RSS_INDEP,1.0,ALL,607,264,304,40,0,40,0,0.06589785831960461
OOS,12,RSS_INDEP,1.0,2PANEL,345,122,133,11,0,11,0,0.03188405797101449
OOS,12,RSS_INDEP,1.0,3PANEL,262,142,171,29,0,29,0,0.11068702290076336
OOS,12,RSS_INDEP,1.0,NESTED_PAIR,366,163,192,29,0,29,0,0.07923497267759563
OOS,12,RSS_INDEP,2.0,ALL,607,321,360,39,0,39,0,0.0642504118616145
OOS,12,RSS_INDEP,2.0,2PANEL,345,148,161,13,0,13,0,0.03768115942028986
OOS,12,RSS_INDEP,2.0,3PANEL,262,173,199,26,0,26,0,0.09923664122137404
OOS,12,RSS_INDEP,2.0,NESTED_PAIR,366,199,212,13,0,13,0,0.03551912568306011
OOS,12,PAIR_INDEP,1.0,ALL,607,264,279,16,1,15,-25,0.02800658978583196
OOS,12,PAIR_INDEP,1.0,2PANEL,345,122,133,11,0,11,0,0.03188405797101449
OOS,12,PAIR_INDEP,1.0,3PANEL,262,142,146,5,1,4,-25,0.022900763358778626
OOS,12,PAIR_INDEP,1.0,NESTED_PAIR,366,163,169,7,1,6,-23,0.02185792349726776
OOS,12,PAIR_INDEP,2.0,ALL,607,321,352,31,0,31,-8,0.051070840197693576
OOS,12,PAIR_INDEP,2.0,2PANEL,345,148,161,13,0,13,0,0.03768115942028986
OOS,12,PAIR_INDEP,2.0,3PANEL,262,173,191,18,0,18,-8,0.06870229007633588
OOS,12,PAIR_INDEP,2.0,NESTED_PAIR,366,199,205,6,0,6,-7,0.01639344262295082
OOS,12,PAIR_SEED,1.0,ALL,607,264,276,16,4,12,-28,0.032948929159802305
OOS,12,PAIR_SEED,1.0,2PANEL,345,122,128,8,2,6,-5,0.028985507246376812
OOS,12,PAIR_SEED,1.0,3PANEL,262,142,148,8,2,6,-23,0.03816793893129771
OOS,12,PAIR_SEED,1.0,NESTED_PAIR,366,163,159,0,4,-4,-33,0.01092896174863388
OOS,12,PAIR_SEED,2.0,ALL,607,321,346,26,1,25,-14,0.044481054365733116
OOS,12,PAIR_SEED,2.0,2PANEL,345,148,159,11,0,11,-2,0.03188405797101449
OOS,12,PAIR_SEED,2.0,3PANEL,262,173,187,15,1,14,-12,0.061068702290076333
OOS,12,PAIR_SEED,2.0,NESTED_PAIR,366,199,198,0,1,-1,-14,0.00273224043715847
OOS,12,PAIR_COUPLED,1.0,ALL,607,264,272,9,1,8,-32,0.016474464579901153
OOS,12,PAIR_COUPLED,1.0,2PANEL,345,122,126,4,0,4,-7,0.011594202898550725
OOS,12,PAIR_COUPLED,1.0,3PANEL,262,142,146,5,1,4,-25,0.022900763358778626
OOS,12,PAIR_COUPLED,1.0,NESTED_PAIR,366,163,163,1,1,0,-29,0.00546448087431694
OOS,12,PAIR_COUPLED,2.0,ALL,607,321,341,21,1,20,-19,0.036243822075782535
OOS,12,PAIR_COUPLED,2.0,2PANEL,345,148,155,8,1,7,-6,0.02608695652173913
OOS,12,PAIR_COUPLED,2.0,3PANEL,262,173,186,13,0,13,-13,0.04961832061068702
OOS,12,PAIR_COUPLED,2.0,NESTED_PAIR,366,199,198,0,1,-1,-14,0.00273224043715847
OOS,12,PAIR_DIRECT,1.0,ALL,607,264,283,20,1,19,-21,0.03459637561779242
OOS,12,PAIR_DIRECT,1.0,2PANEL,345,122,136,14,0,14,3,0.04057971014492753
OOS,12,PAIR_DIRECT,1.0,3PANEL,262,142,147,6,1,5,-24,0.026717557251908396
OOS,12,PAIR_DIRECT,1.0,NESTED_PAIR,366,163,171,9,1,8,-21,0.0273224043715847
OOS,12,PAIR_DIRECT,2.0,ALL,607,321,356,36,1,35,-4,0.060955518945634266
OOS,12,PAIR_DIRECT,2.0,2PANEL,345,148,165,18,1,17,4,0.05507246376811594
OOS,12,PAIR_DIRECT,2.0,3PANEL,262,173,191,18,0,18,-8,0.06870229007633588
OOS,12,PAIR_DIRECT,2.0,NESTED_PAIR,366,199,210,12,1,11,-2,0.03551912568306011
OOS,24,RSS_INDEP,1.0,ALL,607,269,307,38,0,38,0,0.06260296540362438
OOS,24,RSS_INDEP,1.0,2PANEL,345,125,136,11,0,11,0,0.03188405797101449
OOS,24,RSS_INDEP,1.0,3PANEL,262,144,171,27,0,27,0,0.10305343511450382
OOS,24,RSS_INDEP,1.0,NESTED_PAIR,366,168,193,25,0,25,0,0.06830601092896176
OOS,24,RSS_INDEP,2.0,ALL,607,325,362,37,0,37,0,0.060955518945634266
OOS,24,RSS_INDEP,2.0,2PANEL,345,151,163,12,0,12,0,0.034782608695652174
OOS,24,RSS_INDEP,2.0,3PANEL,262,174,199,25,0,25,0,0.09541984732824428
OOS,24,RSS_INDEP,2.0,NESTED_PAIR,366,201,214,13,0,13,0,0.03551912568306011
OOS,24,PAIR_INDEP,1.0,ALL,607,269,282,15,2,13,-25,0.02800658978583196
OOS,24,PAIR_INDEP,1.0,2PANEL,345,125,136,11,0,11,0,0.03188405797101449
OOS,24,PAIR_INDEP,1.0,3PANEL,262,144,146,4,2,2,-25,0.022900763358778626
OOS,24,PAIR_INDEP,1.0,NESTED_PAIR,366,168,170,4,2,2,-23,0.01639344262295082
OOS,24,PAIR_INDEP,2.0,ALL,607,325,356,31,0,31,-6,0.051070840197693576
OOS,24,PAIR_INDEP,2.0,2PANEL,345,151,163,12,0,12,0,0.034782608695652174
OOS,24,PAIR_INDEP,2.0,3PANEL,262,174,193,19,0,19,-6,0.07251908396946564
OOS,24,PAIR_INDEP,2.0,NESTED_PAIR,366,201,208,7,0,7,-6,0.01912568306010929
OOS,24,PAIR_SEED,1.0,ALL,607,269,285,17,1,16,-22,0.029654036243822075
OOS,24,PAIR_SEED,1.0,2PANEL,345,125,134,9,0,9,-2,0.02608695652173913
OOS,24,PAIR_SEED,1.0,3PANEL,262,144,151,8,1,7,-20,0.03435114503816794
OOS,24,PAIR_SEED,1.0,NESTED_PAIR,366,168,167,0,1,-1,-26,0.00273224043715847
OOS,24,PAIR_SEED,2.0,ALL,607,325,349,24,0,24,-13,0.039538714991762765
OOS,24,PAIR_SEED,2.0,2PANEL,345,151,162,11,0,11,-1,0.03188405797101449
OOS,24,PAIR_SEED,2.0,3PANEL,262,174,187,13,0,13,-12,0.04961832061068702
OOS,24,PAIR_SEED,2.0,NESTED_PAIR,366,201,201,0,0,0,-13,0.0
OOS,24,PAIR_COUPLED,1.0,ALL,607,269,276,9,2,7,-31,0.018121911037891267
OOS,24,PAIR_COUPLED,1.0,2PANEL,345,125,130,5,0,5,-6,0.014492753623188406
OOS,24,PAIR_COUPLED,1.0,3PANEL,262,144,146,4,2,2,-25,0.022900763358778626
OOS,24,PAIR_COUPLED,1.0,NESTED_PAIR,366,168,166,0,2,-2,-27,0.00546448087431694
OOS,24,PAIR_COUPLED,2.0,ALL,607,325,352,27,0,27,-10,0.044481054365733116
OOS,24,PAIR_COUPLED,2.0,2PANEL,345,151,161,10,0,10,-2,0.028985507246376812
OOS,24,PAIR_COUPLED,2.0,3PANEL,262,174,191,17,0,17,-8,0.0648854961832061
OOS,24,PAIR_COUPLED,2.0,NESTED_PAIR,366,201,205,4,0,4,-9,0.01092896174863388
OOS,24,PAIR_DIRECT,1.0,ALL,607,269,286,19,2,17,-21,0.03459637561779242
OOS,24,PAIR_DIRECT,1.0,2PANEL,345,125,138,13,0,13,2,0.03768115942028986
OOS,24,PAIR_DIRECT,1.0,3PANEL,262,144,148,6,2,4,-23,0.030534351145038167
OOS,24,PAIR_DIRECT,1.0,NESTED_PAIR,366,168,170,4,2,2,-23,0.01639344262295082
OOS,24,PAIR_DIRECT,2.0,ALL,607,325,354,31,2,29,-8,0.054365733113673806
OOS,24,PAIR_DIRECT,2.0,2PANEL,345,151,161,12,2,10,-2,0.04057971014492753
OOS,24,PAIR_DIRECT,2.0,3PANEL,262,174,193,19,0,19,-6,0.07251908396946564
OOS,24,PAIR_DIRECT,2.0,NESTED_PAIR,366,201,206,7,2,5,-8,0.02459016393442623
