file,stat,is_null_file,cellkey,rows,cells,n_true,ROW,CELL,CELLANY,top_cell_row_share,herfindahl,gap_ROW_CELL_pp,gap_ROW_CELLANY_pp,gap_max_pp
2026-09-08_does-the-IS-WINDOW-DD-CAP-transfer-at-all_cloud.grid.csv,pass4a,False,panel|arm|gross|freq|rung,186,186,11,0.05913978494623656,0.05913978494623656,0.05913978494623656,0.005376344086021506,0.005376344086021506,0.0,0.0,0.0
2026-09-08_does-the-IS-WINDOW-DD-CAP-transfer-at-all_cloud.grid.csv,pass4b_oos,False,panel|arm|gross|freq|rung,186,186,20,0.10752688172043011,0.10752688172043011,0.10752688172043011,0.005376344086021506,0.005376344086021506,0.0,0.0,0.0
2026-09-08_does-the-IS-WINDOW-DD-CAP-transfer-at-all_cloud.grid.csv,pass4a_oos,False,panel|arm|gross|freq|rung,186,186,14,0.07526881720430108,0.07526881720430108,0.07526881720430108,0.005376344086021506,0.005376344086021506,0.0,0.0,0.0
2026-09-08_does-the-MATCHED-margin-hold-off-the-Sharpe-statistic_cloud.grid.csv,pass4b,False,panel,665,3,12,0.01804511278195489,0.018433179723502304,0.3333333333333333,0.3368421052631579,0.33340720221606646,0.03880669415474158,31.528822055137844,31.528822055137844
2026-09-08_does-the-MATCHED-margin-hold-off-the-Sharpe-statistic_cloud.grid.csv,pass4a,False,panel,665,3,80,0.12030075187969924,0.11904761904761905,0.6666666666666666,0.3368421052631579,0.33340720221606646,0.12531328320801866,54.63659147869674,54.76190476190476
2026-09-08_does-the-MATCHED-margin-hold-off-the-Sharpe-statistic_cloud.keep.csv,pass4b,False,panel,84,3,12,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,19.047619047619047,19.047619047619047
2026-09-08_does-the-MATCHED-margin-hold-off-the-Sharpe-statistic_cloud.keep.csv,pass4a,False,panel,84,3,22,0.2619047619047619,0.2619047619047619,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,40.476190476190474,40.476190476190474
2026-09-08_does-the-key-swap-survive-a-CONSTANT-count_cloud.keep.csv,keep4b,False,panel|cost,26460,21,4133,0.15619803476946334,0.15619803476946337,0.6666666666666666,0.047619047619047616,0.0476190476190476,2.7755575615628914e-15,51.04686318972033,51.04686318972033
2026-09-08_does-the-key-swap-survive-a-CONSTANT-count_cloud.keep.csv,keep4a,False,panel|cost,26460,21,0,0.0,0.0,0.0,0.047619047619047616,0.0476190476190476,0.0,0.0,0.0
2026-09-08_does-the-q95-band-hold-its-nominal-5-percent_cloud.keep.csv,pass4b,False,panel,96,3,14,0.14583333333333334,0.14583333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,52.08333333333333,52.08333333333333
2026-09-08_does-the-q95-band-hold-its-nominal-5-percent_cloud.keep.csv,pass4a,False,panel,96,3,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
2026-09-08_does-the-vol-gate-corner-survive-being-pre-registered_B.keep.csv,pass4b,False,panel|arm|gross,168,12,53,0.31547619047619047,0.31547619047619047,0.5,0.08333333333333333,0.08333333333333334,0.0,18.452380952380953,18.452380952380953
2026-09-08_does-the-vol-gate-corner-survive-being-pre-registered_B.keep.csv,pass4a,False,panel|arm|gross,168,12,0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333334,0.0,0.0,0.0
2026-09-08_does-the-vol-gate-corner-survive-being-pre-registered_B.keep.csv,pass4a_v1,False,panel|arm|gross,168,12,49,0.2916666666666667,0.29166666666666663,0.75,0.08333333333333333,0.08333333333333334,5.551115123125783e-15,45.83333333333333,45.833333333333336
2026-09-08_does-the-vol-gate-corner-survive-being-pre-registered_cloud.keep.csv,keep4b,False,panel|n|cost,756,63,36,0.047619047619047616,0.047619047619047616,0.20634920634920634,0.015873015873015872,0.015873015873015872,0.0,15.873015873015872,15.873015873015872
