book,family,panel,freq,label,full_CAGR,full_Sharpe,full_MaxDD,full_Vol,full_Sortino,full_WinRate,full_H1,full_H2,turn_yr,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_Vol,IS_Sortino,IS_WinRate,IS_H1,IS_H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4b,fail4b,keep4a,fail4a,keep4b_OOSlocal,memo833,share_3y,n_3y,share_3y_OOS,n_3y_OOS,cost_surv,cost_surv_OOS,gross_band,gross_band_OOS,_CALMAR_full,_CALMAR_IS,_NEGVOL_full,_NEGVOL_IS,_NEGTURN
MARS-g1.00,MARS,U56,W,"u56 MA-RESPREAD, W, g1.00",0.15361245799552492,1.0877531804218485,-0.24316405766836136,0.1405192579312336,1.3596319176739575,0.5653837497186586,1.1744512170561432,1.0246313643892102,9.718441664152662,0.14000413385188248,1.0673573921391972,-0.14376725949657532,0.1308232041919078,1.4333399620808187,0.5630293971101146,0.9092093439450227,1.2525330585462613,0.164946208249801,1.105930869612521,-0.24316405766836147,FAIL,DD,FAIL,H1+H2+DD,FAIL,-,0.0,176.0,0.0,80.0,-1.0,-1.0,0.125,0.125,0.6317235345900868,0.9738248773895389,-0.1405192579312336,-0.1308232041919078,-9.718441664152662
MADIST-q0.25,MADIST,U56,M,"u56 MA-DISTANCE top-quarter, M, g0.75",0.1773986711387403,1.1923776665847328,-0.21320982799095733,0.14595811775360884,1.5511017133360105,0.574611748818366,1.2697771722868836,1.1423434730776083,4.751636981403226,0.161872202585587,1.2069956548389782,-0.12053720647651889,0.131510001741633,1.6396862268603738,0.5714997508719482,0.9712976008422813,1.473472447072411,0.19034656956891416,1.189686112945605,-0.2132098279909571,FAIL,DD,FAIL,H2+DD,FAIL,-,0.005681818181818182,176.0,0.0,80.0,-1.0,-1.0,0.375,0.375,0.8320379637765298,1.3429231298563429,-0.14595811775360884,-0.131510001741633,-4.751636981403226
MADIST-q0.50,MADIST,U56,M,"u56 MA-DISTANCE top-half, M, g0.75",0.15376905043373967,1.2260363003671622,-0.19975796950615476,0.12286676873703575,1.5815177378711571,0.5712356515867657,1.3351364173951696,1.1418011317004595,3.076817593119639,0.14621272078837788,1.2448953945317596,-0.10627632433457335,0.11495915847548059,1.6926826395048913,0.5685102142501246,1.0981526483276611,1.440540911218162,0.16003206061231268,1.2154381442323396,-0.19975796950615465,PASS,-none-,FAIL,H2+DD,PASS,R3,0.29545454545454547,176.0,0.5,80.0,75.0,75.0,0.375,0.375,0.7697767994633219,1.3757788642377107,-0.12286676873703575,-0.11495915847548059,-3.076817593119639
MADIST-q0.75,MADIST,U56,M,"u56 MA-DISTANCE top-three-quarters, M, g0.75",0.14072806112037162,1.2033597543227978,-0.20486338935536874,0.114944745625832,1.527776291743555,0.565608822867432,1.3166332577045627,1.1071018332012525,1.7579489972823032,0.13814657489698368,1.2171646296534422,-0.12341321093344948,0.1114441589790125,1.6349257920306766,0.5670154459392127,1.107689365007029,1.416117161206522,0.1428593246854235,1.1931648613770278,-0.20486338935536874,FAIL,DD,FAIL,H2+DD,FAIL,-,0.07954545454545454,176.0,0.0,80.0,-1.0,-1.0,0.125,0.125,0.6869361166150385,1.1193823890659418,-0.114944745625832,-0.1114441589790125,-1.7579489972823032
BRD-q0.10,BRD,U56,W,"u56 EW-all, de-gross to ZERO on breadth<q0.10(1008d), W, g1.00",0.13489852123076185,1.1051852633937131,-0.2226303734060021,0.12119620604703679,1.3319672551149795,0.5194688273688949,1.108142426466459,1.104345388492918,9.382138357669744,0.11767114475959972,0.9932417842491446,-0.1479115582684295,0.1191893529801864,1.2962011685853074,0.521175884404584,0.8297016240953929,1.2480788438669568,0.1492913421330806,1.1947259399881383,-0.22263037340600178,FAIL,DD,FAIL,H1+H2+DD,FAIL,-,0.10795454545454546,176.0,0.2375,80.0,-1.0,-1.0,0.125,0.25,0.6059304450105414,0.7955507070383941,-0.12119620604703679,-0.1191893529801864,-9.382138357669744
BRD-q0.17,BRD,U56,W,"u56 EW-all, de-gross to ZERO on breadth<q0.17(1008d), W, g1.00",0.14159352927982938,1.2225788453420765,-0.1479115582684295,0.1136387804031021,1.4803916135789341,0.49876209768174656,1.1406933767560927,1.3035745782595272,8.374264166841346,0.11916655254945341,1.0248424351272498,-0.1479115582684295,0.11651027533958049,1.3209359641678473,0.5087194818136522,0.8297016240953929,1.3594449055319318,0.16040819756384783,1.393684369943309,-0.12719753492220232,PASS,-none-,FAIL,H1+DD,PASS,K8,0.4147727272727273,176.0,0.6875,80.0,30.0,50.0,0.25,0.375,0.9572850893969072,0.8056608553416108,-0.1136387804031021,-0.11651027533958049,-8.374264166841346
BRD-q0.25,BRD,U56,W,"u56 EW-all, de-gross to ZERO on breadth<q0.25(1008d), W, g1.00",0.1194163741069818,1.0894887316774409,-0.1479115582684295,0.10903321878534776,1.2860522928801223,0.46927751519243754,1.1061416057927707,1.0723413385533649,8.77912434894541,0.11136040922635759,0.9842658466032679,-0.1479115582684295,0.11389248356963126,1.2329003094164102,0.4857997010463378,0.8297016240953929,1.2965086565255006,0.12609747270042915,1.185151435126308,-0.13366704368888138,PASS,-none-,FAIL,H1+H2+DD,PASS,-,0.19318181818181818,176.0,0.2875,80.0,20.0,25.0,0.125,0.25,0.8073498481455066,0.7528851060054483,-0.10903321878534776,-0.11389248356963126,-8.77912434894541
EWALL-g0.75,EWALL,U56,W,"u56 scored-eligible EW-all, W, g0.75",0.10369161550391293,1.0460774572301252,-0.15874701499330102,0.09903141510107559,1.3294593220969286,0.5629079450821517,1.0757655773288828,1.0223700348438436,7.865990441664539,0.09295491488915264,0.9696548834034122,-0.11203318597262035,0.09648743407348007,1.306184096237999,0.5585450921773791,0.8300679666327969,1.131380740759364,0.11261669388068807,1.1064951781036392,-0.15874701499330057,FAIL,CG,FAIL,H1+H2+DD,PASS,-,0.11931818181818182,176.0,0.2625,80.0,5.0,15.0,0.0,0.125,0.6531878127490374,0.8297087517610163,-0.09903141510107559,-0.09648743407348007,-7.865990441664539
EWALL-g1.00,EWALL,U56,W,"u56 scored-eligible EW-all, W, g1.00",0.13823901504957892,1.046219320763306,-0.20880282084818402,0.13216859110033563,1.3288674225646038,0.5633580913796984,1.076044893697834,1.0224511665142137,10.406796084838849,0.12359361965721827,0.9699549719726234,-0.1479115582684295,0.12872227802035116,1.3065161637592981,0.5595416043846537,0.8297016240953929,1.132309013347559,0.15044855171922333,1.10648610097,-0.20880282084818402,FAIL,DD,FAIL,H1+H2+DD,FAIL,-,0.0,176.0,0.0,80.0,-1.0,-1.0,0.125,0.25,0.662055304080827,0.8355913567817391,-0.13216859110033563,-0.12872227802035116,-10.406796084838849
SHY-g0.375,SHY,B136,W,"b136 scored-eligible EW, residual in SHY, W, g0.375",0.06220101729156324,1.1687108743038912,-0.11133286588851088,0.052833745570443076,1.4919434566329208,0.5633580913796984,1.2646773786881855,1.0834192877856104,4.350839683507403,0.06021227049009692,1.1457472087976666,-0.05536132815335093,0.05222780715048048,1.5469699522405456,0.5640259093173892,1.0296052486611613,1.3037866874066704,0.06384233170332343,1.187119804006703,-0.11133286588851188,FAIL,CG,FAIL,H2,FAIL,K7,0.005681818181818182,176.0,0.0125,80.0,-1.0,-1.0,0.0,0.0,0.5586941178164906,1.087623301292716,-0.052833745570443076,-0.05222780715048048,-4.350839683507403
SHY-g0.625,SHY,B136,W,"b136 scored-eligible EW, residual in SHY, W, g0.625",0.09467708304107814,1.0719556124188703,-0.15422710135119633,0.08802327159236795,1.3533467235343075,0.562457798784605,1.1882533083804936,0.9640566473540547,7.0694201679911775,0.0949256360357007,1.0715153461510396,-0.09448298421325108,0.0882885216506764,1.4303417272179193,0.5640259093173892,0.9365441223658564,1.2542535701267667,0.09447234470369037,1.0721062627543554,-0.154227101351196,FAIL,CG,FAIL,H1+H2+DD,FAIL,-,0.2727272727272727,176.0,0.0375,80.0,-1.0,-1.0,0.0,0.0,0.6138809730041246,1.0046849898543695,-0.08802327159236795,-0.0882885216506764,-7.0694201679911775
R6-n10,R6,B136,W,"b136 R6-top10 (de-gross), W, g0.65",0.17512851812870323,1.1070487180686719,-0.21862298173526762,0.1569806602092368,1.4554326453811164,0.5626828719333784,1.3611691630085767,0.9260032122997407,13.147280376309537,0.18303118213263514,1.2955011440967212,-0.10596500907483009,0.13703507089739544,1.8496297343990333,0.554559043348281,1.0647803935862148,1.5580286403515675,0.1686572584222068,0.9941258697921841,-0.21862298173526773,FAIL,DD,FAIL,H2+DD,FAIL,-,0.11931818181818182,176.0,0.0125,80.0,-1.0,-1.0,0.375,0.25,0.8010526466095308,1.7272794456458986,-0.1569806602092368,-0.13703507089739544,-13.147280376309537
R6-n20,R6,B136,W,"b136 R6-top20 (de-gross), W, g0.65",0.14985888137427117,1.1264311898720905,-0.1943271934977503,0.1317188869505169,1.4851716282406617,0.5651586765698852,1.342473622183838,0.9558350545244597,11.201935939787342,0.15558082750088742,1.2538293895648782,-0.10149186679296307,0.12122527204882896,1.7478375321203379,0.5645241654210265,0.9819217775411098,1.6043029269585702,0.14516591165653137,1.0399755698403153,-0.19432719349775063,PASS,-none-,FAIL,H2+DD,PASS,R4,0.13636363636363635,176.0,0.1625,80.0,25.0,25.0,0.375,0.375,0.7711678364562295,1.5329388690648718,-0.1317188869505169,-0.12122527204882896,-11.201935939787342
R6-n30,R6,B136,W,"b136 R6-top30 (de-gross), W, g0.65",0.13163489022949393,1.0853639149175633,-0.19412821239296307,0.12068905466652315,1.4214354474107107,0.5615575061895116,1.2068222982550898,0.9871081118420486,9.976539962505498,0.12564808302916286,1.0983565114296001,-0.11203193219025243,0.11367072836079979,1.5050818998317497,0.5560538116591929,0.8183196126769654,1.472710345217588,0.13659128671584742,1.0780497053774287,-0.19412821239296285,PASS,-none-,FAIL,H1+H2+DD,PASS,-,0.17613636363636365,176.0,0.3,80.0,30.0,30.0,0.25,0.25,0.6780822251792679,1.1215381237537483,-0.12068905466652315,-0.11367072836079979,-9.976539962505498
BANDWB-b0.00,BANDWB,B136,W,"b136 EW-all 200d-MA gate (band 0), W, g1.00",0.10320577133173159,1.0874622174068254,-0.16630686129757177,0.09445022099387104,1.3583041930573954,0.5635831645284718,1.205315969544813,0.971214481630047,4.2029963774239505,0.1022512719611357,1.0566120124398404,-0.10513780591806632,0.09657463912890844,1.3812220528285057,0.5655206776283009,0.8992310646657385,1.2600758274032329,0.10399279636429326,1.1141422771224583,-0.16630686129757155,FAIL,CG,FAIL,H1+H2+DD,FAIL,-,0.125,176.0,0.1625,80.0,0.0,0.0,0.0,0.0,0.6205743438754832,0.9725452330707749,-0.09445022099387104,-0.09657463912890844,-4.2029963774239505
