panel,cost,N,H,gross,cadence,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,KEEP_4a,KEEP_4b,KEEP_4b_OOS
U56,0.0,30,252,0.3,M,0.055276170730548024,1.0883329025520798,-0.07751122801122878,1.1343385540859423,1.0610292594469848,0.061147842278150843,1.1332369601885717,-0.0775112280112289,False,False,False
U56,0.0,30,252,0.35,M,0.06456090199957942,1.0884862685775774,-0.09007640383039694,1.134823351875994,1.0609500722754548,0.07143367148770907,1.1331237208317435,-0.09007640383039694,False,False,False
U56,0.0,30,252,0.4,M,0.0738642403076939,1.0886387796877863,-0.10254240141210136,1.1353049422046875,1.0608730799322785,0.08174400426891948,1.1330104248418043,-0.10254240141210091,False,False,False
U56,0.0,30,252,0.45,M,0.08318542147051544,1.0887905048813191,-0.1149098759053585,1.1357834178673099,1.0607983623148594,0.09207786923776062,1.1328971220217205,-0.11490987590535884,False,False,False
U56,0.0,30,252,0.5,M,0.09252367070955358,1.0889415126181834,-0.12717947670150942,1.1362588708946775,1.0607260000546408,0.10243428031089441,1.1327838619638644,-0.12717947670150964,False,False,False
U56,0.0,30,252,0.55,M,0.10187820261453395,1.0890918708254986,-0.13935184749732943,1.136731392599533,1.06065607454339,0.1128122366572264,1.1326706940423343,-0.13935184749732932,False,False,True
U56,0.0,30,252,0.6,M,0.11124822110593269,1.089241646900353,-0.15142762635731,1.1372010736221427,1.0605886679580256,0.12321072265028543,1.1325576674021745,-0.15142762635731022,False,True,True
U56,0.0,30,252,0.65,M,0.12063291939772247,1.0893909077096071,-0.1634074457751321,1.137668003975137,1.0605238632838432,0.13362870782143554,1.1324448309452488,-0.16340744577513222,False,True,True
U56,0.0,30,252,0.7,M,0.13003147996029796,1.0895397195864582,-0.17529193273432553,1.1381322730876124,1.0604617443359847,0.1440651468138887,1.1323322333125176,-0.17529193273432542,False,True,True
U56,0.0,30,252,0.75,M,0.1394430744835995,1.089688148323517,-0.18708170876814645,1.1385939698485286,1.0604023957789668,0.1545189793375652,1.1322199228624217,-0.18708170876814623,False,True,True
U56,0.0,30,252,0.75,W,0.1417110801709447,1.0923059798501982,-0.2088914971704745,1.189916721465803,1.024842920751947,0.15114097185212239,1.0944191090922188,-0.2088914971704744,False,False,False
U56,0.0,40,21,0.5,W,0.0886917242862919,1.2091098000541713,-0.13654332008058256,1.327289921029328,1.1185137819723516,0.09289047648041615,1.2071013065797016,-0.13654332008058245,False,False,False
U56,0.0,40,63,0.55,W,0.10201300690267279,1.2000751574411292,-0.16153589338232566,1.3317153026903747,1.1074306046863382,0.10774314431012688,1.189371226636027,-0.16153589338232544,False,False,True
U56,0.0,40,126,0.75,W,0.1374928442537342,1.1540072098881275,-0.22986278923033088,1.2862463898438565,1.0609395699572,0.14393665877529216,1.13526351069426,-0.22986278923033054,False,False,False
U56,0.0,40,252,0.75,M,0.12732942988949603,1.0747634035481008,-0.23293933256888755,1.1911410713033406,0.9943102446973928,0.1350888941817847,1.0690578602483933,-0.23293933256888777,False,False,False
U56,10.0,5,21,0.3,W,0.08091913116516092,1.0823881616286382,-0.1010206716887575,1.3332399980067695,0.8835861309134161,0.07294135154288828,0.9262531220229372,-0.10102067168875706,False,False,False
U56,10.0,5,21,0.35,W,0.09448710162695706,1.0828131085662394,-0.11713247209003852,1.3335046407284543,0.8841878126098923,0.08500972099892046,0.9268464204331968,-0.11713247209003841,False,False,False
U56,10.0,5,21,0.4,W,0.10806840950703656,1.0832297017209174,-0.13304158469847416,1.3337579125144892,0.8847858511944677,0.0970416123057769,0.9274349265363833,-0.13304158469847416,False,True,False
U56,10.0,5,21,0.45,W,0.12165890868076645,1.083635919560229,-0.14874965723605282,1.3339995823953683,0.885376766791524,0.10903215097007113,0.9280144696239867,-0.1487496572360527,False,True,True
U56,10.0,5,21,0.5,M,0.1370829399086244,1.0895045156744358,-0.1668860731189502,1.3446249343240988,0.8968120999807797,0.12427227005130015,0.9340932003955623,-0.16688607311894976,False,True,True
U56,10.0,5,21,0.5,W,0.13525476680827087,1.0840333436991978,-0.16425832839466892,1.3342265603305803,0.8859661145591446,0.12097760174607064,0.9285906379982131,-0.16425832839466903,False,True,True
U56,10.0,5,21,0.55,W,0.1488522063689488,1.0844236581955347,-0.1795692278960218,1.3344424070092789,0.8865541525605946,0.13287386525328215,0.9291647973589767,-0.17956922789602214,False,True,True
U56,10.0,5,21,0.6,W,0.1624464964639205,1.084802998681205,-0.19468397655085778,1.334643482681881,0.8871368059030202,0.14471581719765236,0.9297326780748743,-0.19468397655085778,False,True,True
U56,10.0,5,21,0.65,W,0.17603278440099035,1.0851682609236348,-0.20960434586999366,1.3348292121727192,0.8877088595290427,0.15649778513659496,0.930288727047326,-0.20960434586999377,False,False,False
U56,10.0,5,21,0.7,W,0.18960718462816173,1.0855224543665174,-0.22433238571330838,1.3350038155017154,0.8882724948994528,0.16821545716814446,0.9308355941986082,-0.22433238571330827,False,False,False
U56,10.0,5,21,0.75,W,0.20316472380107098,1.0858635958032166,-0.2388698220917379,1.3351637809170718,0.8888269334244299,0.17986369144022252,0.9313723339156729,-0.2388698220917379,False,False,False
U56,10.0,5,63,0.5,W,0.1335990821975943,1.050474653807384,-0.18140211890697955,1.3557944835068654,0.8154594436242938,0.11688029165777136,0.8748092203335693,-0.18140211890697888,False,False,True
U56,10.0,5,63,0.55,W,0.14702862162845864,1.0513041248772972,-0.19813608194162768,1.3563395409561312,0.8165841960329026,0.12833486341589673,0.8759606155936273,-0.1981360819416279,False,False,True
U56,10.0,5,126,0.5,W,0.12982949294223523,1.074119568277951,-0.18013221537083823,1.348565145560772,0.8411904644619537,0.11815130849293598,0.9506550288535996,-0.15759186658082402,False,True,True
U56,10.0,5,126,0.75,W,0.1946945319887261,1.075236249348071,-0.2616429494681285,1.3506348105953307,0.8414384092645718,0.1755047844559492,0.9511765429040251,-0.228724897227081,False,False,False
U56,10.0,5,252,0.5,W,0.11640955913639117,0.9914412660738549,-0.21246494693955464,0.9734442877947499,1.0165429495448566,0.13659751599554482,1.072038485372807,-0.18286673638141737,False,False,True
U56,10.0,5,252,0.75,M,0.1717037336601297,0.969608085597376,-0.31354137498175116,1.0306526581994544,0.9338406292078083,0.18856064228913727,0.9869502947378951,-0.2691564809624588,False,False,False
U56,10.0,10,21,0.5,W,0.11802945612790716,1.172737842091926,-0.1541204404062002,1.2698007415066437,1.1047828014877634,0.12129969510853211,1.128395047191078,-0.15412044040620032,False,True,True
U56,10.0,10,21,0.55,W,0.13000516460635447,1.1730445306343755,-0.1685633075637144,1.2700279927095735,1.1051611771076066,0.133563545644384,1.1287901397351676,-0.1685633075637144,False,True,True
U56,10.0,10,63,0.3,W,0.07315448163532001,1.1474372378432522,-0.10752231718981564,1.311487155742851,1.0361542660417706,0.07662146983951978,1.1022818076393346,-0.10752231718981498,False,False,False
U56,10.0,10,63,0.35,W,0.08548435671976096,1.1479178281455997,-0.12461803726480014,1.3119037760544368,1.0367491848496295,0.08951442920103925,1.1028893296118616,-0.12461803726480036,False,False,False
