book,panel,family,mode,theta,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,PASS_IS_4b,PASS_OOS_4b,PASS_IS_4a,PASS_OOS_4a,IS_4b_legs,mono_dd,mono_cg,gmin@0.25,gmax@0.25,W@0.25,state@0.25,gmin@0.10,gmax@0.10,W@0.10,state@0.10,gmin@0.05,gmax@0.05,W@0.05,state@0.05
U56|MOM|HYB|0.80,U56,MOM,HYB,0.8,0.009227059053943831,0.17810119219461157,-0.1486566379201607,0.04872032461478515,0.6501901924150951,-0.19672586881886134,False,False,False,False,HHDC,True,True,,0.666298976566163,-0.833701023433837,none/interp,,0.6658166199991816,-0.8341833800008184,none/interp,,0.6657455744140967,-0.8342544255859033,none/interp
U56|DISP|ROW|0.00,U56,DISP,ROW,0.0,0.0617852609079117,0.9157926558505778,-0.08602737659091253,0.05990246757517492,0.8851556266063115,-0.15072483814476445,False,False,False,False,HC,True,True,1.2750878977112745,1.1776930545782944,-0.09739484313298008,interp/interp,1.2750372933337273,1.1771643360200374,-0.09787295731368983,interp/interp,1.2750225655409162,1.1771098849306223,-0.0979126806102939,interp/interp
U56|DISP|ROW|0.20,U56,DISP,ROW,0.2,0.0617852609079117,0.9157926558505778,-0.08602737659091253,0.05990246757517492,0.8851556266063115,-0.15072483814476445,False,False,False,False,HC,True,True,1.2750878977112745,1.1776930545782944,-0.09739484313298008,interp/interp,1.2750372933337273,1.1771643360200374,-0.09787295731368983,interp/interp,1.2750225655409162,1.1771098849306223,-0.0979126806102939,interp/interp
U56|DISP|ROW|0.40,U56,DISP,ROW,0.4,0.0617852609079117,0.9157926558505778,-0.08602737659091253,0.05990246757517492,0.8851556266063115,-0.15072483814476445,False,False,False,False,HC,True,True,1.2750878977112745,1.1776930545782944,-0.09739484313298008,interp/interp,1.2750372933337273,1.1771643360200374,-0.09787295731368983,interp/interp,1.2750225655409162,1.1771098849306223,-0.0979126806102939,interp/interp
U56|DISP|ROW|0.60,U56,DISP,ROW,0.6,0.0617852609079117,0.9157926558505778,-0.08602737659091253,0.05990246757517492,0.8851556266063115,-0.15072483814476445,False,False,False,False,HC,True,True,1.2750878977112745,1.1776930545782944,-0.09739484313298008,interp/interp,1.2750372933337273,1.1771643360200374,-0.09787295731368983,interp/interp,1.2750225655409162,1.1771098849306223,-0.0979126806102939,interp/interp
U56|DISP|ROW|0.80,U56,DISP,ROW,0.8,0.0617852609079117,0.9157926558505778,-0.08602737659091253,0.05990246757517492,0.8851556266063115,-0.15072483814476445,False,False,False,False,HC,True,True,1.2750878977112745,1.1776930545782944,-0.09739484313298008,interp/interp,1.2750372933337273,1.1771643360200374,-0.09787295731368983,interp/interp,1.2750225655409162,1.1771098849306223,-0.0979126806102939,interp/interp
U56|DISP|AGG|0.00,U56,DISP,AGG,0.0,0.12609204770068705,1.1099760419372977,-0.12567791032443032,0.13701664432325344,1.128103058486071,-0.22525880022924205,True,False,False,False,-,True,True,0.6237688661027478,0.7927915892218501,0.16902272311910227,interp/interp,0.6239101303430462,0.7922370920532944,0.1683269617102482,interp/interp,0.6239215892506833,0.7922103231201212,0.16828873386943788,interp/interp
U56|DISP|AGG|0.20,U56,DISP,AGG,0.2,0.12609204770068705,1.1099760419372977,-0.12567791032443032,0.13701664432325344,1.128103058486071,-0.22525880022924205,True,False,False,False,-,True,True,0.6237688661027478,0.7927915892218501,0.16902272311910227,interp/interp,0.6239101303430462,0.7922370920532944,0.1683269617102482,interp/interp,0.6239215892506833,0.7922103231201212,0.16828873386943788,interp/interp
U56|DISP|AGG|0.40,U56,DISP,AGG,0.4,0.12609204770068705,1.1099760419372977,-0.12567791032443032,0.13701664432325344,1.128103058486071,-0.22525880022924205,True,False,False,False,-,True,True,0.6237688661027478,0.7927915892218501,0.16902272311910227,interp/interp,0.6239101303430462,0.7922370920532944,0.1683269617102482,interp/interp,0.6239215892506833,0.7922103231201212,0.16828873386943788,interp/interp
U56|DISP|AGG|0.60,U56,DISP,AGG,0.6,0.08473684780061497,1.0253499145454947,-0.12214382725202144,0.07255192583566261,0.7511155731474219,-0.1938449287712014,False,False,False,False,HC,True,True,0.9271830320011845,0.816023258490508,-0.11115977351067641,interp/interp,0.9271003245955266,0.815471432816406,-0.11162889177912061,interp/interp,0.9270881585283942,0.8154320367678332,-0.11165612176056106,interp/interp
U56|DISP|AGG|0.80,U56,DISP,AGG,0.8,0.0,,0.0,0.0,,0.0,False,False,False,False,HHC,True,True,,1.5,0.0,none/all,,1.5,0.0,none/all,,1.5,0.0,none/all
U56|DISP|HYB|0.00,U56,DISP,HYB,0.0,0.0617852609079117,0.9157926558505778,-0.08602737659091253,0.05990246757517492,0.8851556266063115,-0.15072483814476445,False,False,False,False,HC,True,True,1.2750878977112745,1.1776930545782944,-0.09739484313298008,interp/interp,1.2750372933337273,1.1771643360200374,-0.09787295731368983,interp/interp,1.2750225655409162,1.1771098849306223,-0.0979126806102939,interp/interp
U56|DISP|HYB|0.20,U56,DISP,HYB,0.2,0.0617852609079117,0.9157926558505778,-0.08602737659091253,0.05990246757517492,0.8851556266063115,-0.15072483814476445,False,False,False,False,HC,True,True,1.2750878977112745,1.1776930545782944,-0.09739484313298008,interp/interp,1.2750372933337273,1.1771643360200374,-0.09787295731368983,interp/interp,1.2750225655409162,1.1771098849306223,-0.0979126806102939,interp/interp
U56|DISP|HYB|0.40,U56,DISP,HYB,0.4,0.0617852609079117,0.9157926558505778,-0.08602737659091253,0.05990246757517492,0.8851556266063115,-0.15072483814476445,False,False,False,False,HC,True,True,1.2750878977112745,1.1776930545782944,-0.09739484313298008,interp/interp,1.2750372933337273,1.1771643360200374,-0.09787295731368983,interp/interp,1.2750225655409162,1.1771098849306223,-0.0979126806102939,interp/interp
