panel,book,gross,cadence,book_pass4b,book_pass4a,book_CAGR,book_Sharpe,book_MaxDD,book_OOS_Sharpe,book_turnover,null_base4b,base_L_H1,book_L_H1,base_L_H2,book_L_H2,base_L_OOS,book_L_OOS,base_L_DD,book_L_DD,base_L_CAGR,book_L_CAGR,pct_OOS_Sharpe,pct_Sharpe,pct_CAGR,pct_MaxDD,n_unpassable,n_unique_null,degenerate
B136,EWELIG,0.65,W,False,False,0.0923656867149949,1.0211306864685343,-0.15458884845129817,1.0108511410595626,7.191502421397215,0.0,1.0,True,1.0,True,1.0,True,1.0,True,0.0,False,0.0,0.0,50.0,0.0,1,1,True
B136,EWELIG,0.75,M,False,False,0.11649463120249348,1.0639804082131474,-0.21662223241008793,1.0742148583460525,3.766140051466548,0.0,1.0,True,1.0,True,1.0,True,0.0,False,1.0,True,100.0,50.0,50.0,0.0,1,1,True
B136,EWELIG,0.75,Q,False,False,0.11391287714896636,1.0323553337522522,-0.24436024823827196,0.9692699571578512,1.9682261170733295,0.0,1.0,True,1.0,True,1.0,True,0.0,False,1.0,True,100.0,100.0,100.0,100.0,1,1,True
B136,EWELIG,0.75,W,True,False,0.10656429035062365,1.021147356526676,-0.17688085212974547,1.010456111383248,8.264038337378773,1.0,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,100.0,0.0,0.0,100.0,0,1,True
B136,EWELIG,1.0,M,False,False,0.15601858654111278,1.0649750398396785,-0.2819058168125478,1.0732533364465402,4.97148713568891,0.0,1.0,True,1.0,True,1.0,True,0.0,False,1.0,True,0.0,0.0,100.0,0.0,1,1,True
B136,EWELIG,1.0,Q,False,False,0.15171641778324885,1.0268521761778555,-0.32124808956653683,0.9608932897431763,2.5990984875492034,0.0,1.0,True,1.0,True,1.0,True,0.0,False,1.0,True,100.0,100.0,100.0,0.0,1,1,True
B136,EWELIG,1.0,W,False,False,0.14196133962087365,1.021138121609721,-0.23092049750109667,1.009404721817359,10.909586687911386,0.0,1.0,True,1.0,True,1.0,True,0.0,False,1.0,True,0.0,0.0,100.0,0.0,1,1,True
B136,TOP10,0.5,M,True,False,0.122326723954306,1.068014243326154,-0.19269034481486425,0.9818710407067275,5.213508127414699,0.0,0.39,True,0.38,True,0.455,True,1.0,True,0.0,True,81.0,99.5,100.0,1.5,1,200,False
B136,TOP10,0.5,Q,False,False,0.11725356329311887,1.014397238496536,-0.19579665672673574,0.786259250525923,2.7723434049378413,0.0,0.84,True,0.36,False,0.475,False,0.96,True,0.0,True,27.0,86.5,100.0,7.000000000000001,1,200,False
B136,TOP10,0.5,W,False,False,0.09471005836762081,0.8867231497034076,-0.1462532566465522,0.7733603766704117,11.698685128374043,0.0,0.0,True,0.0,False,0.0,False,0.995,True,0.0,False,100.0,100.0,100.0,50.0,4,200,False
B136,TOP10,0.75,M,False,False,0.1849659001519408,1.0748636375082876,-0.27841173095810423,0.9906059020430813,7.784505760403344,0.055,0.54,True,0.395,True,0.495,True,0.255,False,0.335,True,80.0,98.0,100.0,1.0,0,200,False
B136,TOP10,0.75,Q,False,False,0.17604452832800543,1.0181216043620307,-0.2861259748354533,0.7929245552032385,4.116003278912999,0.04,0.865,True,0.335,False,0.42,False,0.105,False,0.555,True,31.5,82.5,100.0,12.5,0,200,False
B136,TOP10,0.75,W,False,False,0.14099744898364253,0.890046720837066,-0.21445763823418784,0.7779658794587809,17.494082723387898,0.0,0.0,True,0.0,False,0.0,False,0.275,False,0.0,True,100.0,100.0,100.0,55.50000000000001,4,200,False
B136,TOP10,1.0,M,False,False,0.2483300688044554,1.0814208458111576,-0.35792666087771474,0.9990182787920107,10.351554328019851,0.0,0.54,True,0.405,True,0.485,True,0.005,False,0.955,True,80.5,99.0,100.0,1.5,1,200,False
B136,TOP10,1.0,Q,False,False,0.23467259256152495,1.0208118724524589,-0.3719163932042401,0.7986825577531838,5.438982725995236,0.0,0.85,True,0.275,False,0.375,False,0.0,False,0.99,True,40.0,90.5,100.0,12.0,1,200,False
B136,TOP10,1.0,W,False,False,0.18614046832348574,0.8931080758271787,-0.279487525223452,0.7823511725650804,23.307832574396997,0.0,0.0,True,0.0,False,0.0,False,0.0,False,0.0,True,100.0,100.0,100.0,52.5,5,200,False
B136,TOP20,0.5,M,True,False,0.10719208574143813,1.089467923358399,-0.17999419967845864,0.9952659531240393,4.219983786813115,0.0,0.9,True,0.455,True,0.63,True,1.0,True,0.0,True,83.5,98.5,100.0,0.5,1,200,False
B136,TOP20,0.5,Q,False,False,0.09157649038150018,0.9122637969282881,-0.18445147798512362,0.7435455272869548,2.340748833533048,0.0,1.0,True,0.31,False,0.485,False,0.995,True,0.0,False,7.000000000000001,23.5,100.0,10.0,1,200,False
