panel,arm,dial,bps,turn,names,keep4a,keep4b,first_fail,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe
B136,NT,40.0,25,5.088078393812929,19.700382969137195,False,False,"H2,OOS,DD",0.1274165572858481,0.922418906974016,-0.21130793901440614,1.1571319439720655,0.7212844296898607,0.12050242837497316,0.8485809770112707,-0.21130793901440625,1.0233619377301166
B136,MAB,0.0,0,14.310741802245708,19.700382969137195,False,True,,0.14620897388850618,1.0454701923010825,-0.19983154054596752,1.208158640684983,0.9041382414427861,0.14134119698337289,0.9861110497210084,-0.19983154054596786,1.1247401783290516
B136,MAB,0.0,10,14.310741802245708,19.700382969137195,False,False,H2,0.12992958836952506,0.9431848997615343,-0.2005204833110832,1.1047866702854354,0.8025166021122436,0.12454335283909401,0.8836022780725372,-0.20052048331108296,1.0226042049000195
B136,MAB,0.0,25,14.310741802245708,19.700382969137195,False,False,"H1,H2,OOS,CAGR",0.10593330741535789,0.7894767167611467,-0.20155317029654185,0.9493769877220685,0.6498638573002592,0.09979856674461329,0.7295843836804319,-0.20155317029654185,0.869086472042202
B136,MAB,0.03,0,14.21056052396364,19.705564316287454,False,True,,0.1468489932831487,1.0505120882637895,-0.19983154054596752,1.1900876063772694,0.9298589604233801,0.14521375549793802,1.0101880567764385,-0.19983154054596763,1.104947691321223
B136,MAB,0.03,10,14.21056052396364,19.705564316287454,False,False,H2,0.1306755105413595,0.9488982955415121,-0.20052048331108285,1.0868493191934039,0.8293716620657884,0.12853367768461288,0.9087446412032487,-0.2005204833110833,1.0029571142159603
B136,MAB,0.03,25,14.21056052396364,19.705564316287454,False,False,"H1,H2,OOS",0.10683242776216084,0.7961705287984755,-0.20155317029654174,0.9316326158616143,0.6783770549521347,0.1039577940380787,0.7562837230809997,-0.20155317029654196,0.8496495411599694
B136,MAB,0.06,0,14.08404147726819,19.670421266050912,False,False,DD,0.1440478639667473,1.0299588527987127,-0.20351394474985918,1.1659477059172014,0.9128201539563999,0.14310525574691968,0.9938662026576969,-0.2035139447498594,1.078996125506208
B136,MAB,0.06,10,14.08404147726819,19.670421266050912,False,False,"H2,DD",0.1280557580570183,0.9295699327424292,-0.20523325716275376,1.0641201817285395,0.8133867245959862,0.1265530765301175,0.8934159555654256,-0.20523325716275365,0.9785298712809087
B136,MAB,0.06,25,14.08404147726819,19.670421266050912,False,False,"H1,H2,OOS,DD,CAGR",0.10447631919079048,0.7786981535301813,-0.20780816440894,0.9110378520028398,0.663992526159725,0.10216288402818297,0.7424637218707718,-0.2078081644089398,0.827527412801823
