panel,char,K,flavour,level,seed,arm,gross,cadence,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,fail4b,keep4b
cvol~BONLY~L0.313730~0~k20,cvol,20,BONLY,0.31373,0,MA-RS,0.75,W,0.09937849613027772,0.807610055031571,-0.292158686157971,0.9307265683109376,0.7093493710554306,0.10162715918942022,0.8062684138420251,-0.29215868615797125,False,"H2,OOS,DD",False
cvol~BONLY~L0.313730~0~k20,cvol,20,BONLY,0.31373,0,EWall,0.75,M,0.11799707261400694,0.8837424018329834,-0.3189087310746016,0.925058116139287,0.8603455231095366,0.1251951564084104,0.9034048957291694,-0.3189087310746018,False,DD,False
cvol~BONLY~L0.313730~0~k20,cvol,20,BONLY,0.31373,0,MA-RS,0.75,M,0.10567773672974545,0.8420373015904007,-0.31346271431442585,0.9320052892283235,0.7745017797197298,0.11371706944798698,0.8740188406236474,-0.31346271431442696,False,"H2,OOS,DD",False
cvol~BONLY~L0.313730~0~k20,cvol,20,BONLY,0.31373,0,EWall,1.0,W,0.15752895491949337,0.8820219646620094,-0.4159818301018877,0.9262243100937627,0.8581351082644955,0.16776738101279043,0.9008241675008636,-0.41598183010188716,False,DD,False
cvol~BONLY~L0.313730~0~k20,cvol,20,BONLY,0.31373,0,MA-RS,1.0,W,0.13065397743298268,0.8066417041809342,-0.3746418550723759,0.9325907266509434,0.7065415871601363,0.13328752320837833,0.8035710819904684,-0.374641855072376,False,"H2,OOS,DD",False
cvol~BONLY~L0.313730~0~k20,cvol,20,BONLY,0.31373,0,EWall,1.0,M,0.15650812818244386,0.8818988289606042,-0.41253763058848436,0.9275108221475662,0.8560485874401055,0.16594626691537284,0.8989524956839732,-0.4125376305884848,False,"H2,DD",False
cvol~BONLY~L0.313730~0~k20,cvol,20,BONLY,0.31373,0,MA-RS,1.0,M,0.14034076542291607,0.8414485336293274,-0.4078612920293422,0.9359932330700967,0.771917423376854,0.15105959169738603,0.8702332620782702,-0.4078612920293416,False,"H2,OOS,DD",False
cvol~BONLY~L0.313730~1~k20,cvol,20,BONLY,0.31373,1,EWall,0.5,W,0.08915333120033009,1.0299620041118764,-0.18147854804911046,1.0033673741841842,1.0626539247998197,0.09734352169113847,1.0801572352670374,-0.18147854804911046,False,CAGR,False
cvol~BONLY~L0.313730~1~k20,cvol,20,BONLY,0.31373,1,MA-RS,0.5,W,0.07656918793741041,0.9320930441998277,-0.1318178410371068,0.8868111788353217,0.9774104705852695,0.08443925750956405,0.9836121084597309,-0.1318178410371068,False,"H1,CAGR",False
cvol~BONLY~L0.313730~1~k20,cvol,20,BONLY,0.31373,1,EWall,0.5,M,0.08798532849428597,1.030092456447526,-0.1776085822165996,0.9982779832616355,1.0663511495134432,0.09616988065210985,1.0838368376683278,-0.17760858221659936,False,CAGR,False
cvol~BONLY~L0.313730~1~k20,cvol,20,BONLY,0.31373,1,MA-RS,0.5,M,0.08072574699198687,0.9531157095928543,-0.16434596006340318,0.9636874819982059,0.9551552887368263,0.0863966675121337,0.974138566003579,-0.16434596006340363,False,CAGR,False
cvol~BONLY~L0.313730~1~k20,cvol,20,BONLY,0.31373,1,EWall,0.75,W,0.13373468399068722,1.0301494249447924,-0.2630783720988351,1.0052377215740111,1.0616515699383455,0.14622570470794272,1.0791122113770875,-0.2630783720988352,False,DD,False
cvol~BONLY~L0.313730~1~k20,cvol,20,BONLY,0.31373,1,MA-RS,0.75,W,0.11453431137442172,0.9333680507125599,-0.19367431055250073,0.8890057896583694,0.9780350232382903,0.12656962637964897,0.9843873686774088,-0.19367431055250062,False,H1,False
cvol~BONLY~L0.313730~1~k20,cvol,20,BONLY,0.31373,1,EWall,0.75,M,0.1324130319316028,1.0297088156804595,-0.25966927755894953,1.0013468252736055,1.0635190748015098,0.14493323782363587,1.0812843505656624,-0.25966927755894986,False,DD,False
cvol~BONLY~L0.313730~1~k20,cvol,20,BONLY,0.31373,1,MA-RS,0.75,M,0.12134703989999451,0.9559030975267809,-0.24019311017982514,0.9687002685684697,0.9564298814192599,0.12983792658865334,0.9757033670387952,-0.2401931101798247,False,DD,False
cvol~BONLY~L0.313730~1~k20,cvol,20,BONLY,0.31373,1,EWall,1.0,W,0.17804072712677899,1.029954833588843,-0.33893905943409597,1.0068366135283418,1.0602109911489128,0.19492476996242347,1.077630687421852,-0.33893905943409597,False,DD,False
cvol~BONLY~L0.313730~1~k20,cvol,20,BONLY,0.31373,1,MA-RS,1.0,W,0.15209662448406824,0.9345439386945817,-0.25284556905116784,0.8911456690520339,0.9785396716721664,0.16842194532209387,0.9850419216124672,-0.2528455690511676,False,DD,False
cvol~BONLY~L0.313730~1~k20,cvol,20,BONLY,0.31373,1,EWall,1.0,M,0.1769754664019263,1.028996814454374,-0.3374588151344661,1.0043074453598575,1.0602867307577206,0.1939643373742006,1.0782741435371763,-0.3374588151344661,False,DD,False
cvol~BONLY~L0.313730~1~k20,cvol,20,BONLY,0.31373,1,MA-RS,1.0,M,0.16201977563487535,0.9585917869005762,-0.3120382015298958,0.9737164756101836,0.9576055468782713,0.17329205980208906,0.9771198428699912,-0.3120382015298956,False,DD,False
cvol~BONLY~L0.313730~2~k20,cvol,20,BONLY,0.31373,2,EWall,0.5,W,0.09494780276207204,1.0967831783063937,-0.17130521635583285,1.283382184222447,0.9589764616839241,0.09141943936296193,1.0225944178804316,-0.17130521635583273,False,CAGR,False
cvol~BONLY~L0.313730~2~k20,cvol,20,BONLY,0.31373,2,MA-RS,0.5,W,0.08296770168723655,1.0041055168492532,-0.19148440759138097,1.2045971705492515,0.8331620538751328,0.07581067041205136,0.9088262243778008,-0.19148440759138063,False,"H2,CAGR",False
cvol~BONLY~L0.313730~2~k20,cvol,20,BONLY,0.31373,2,EWall,0.5,M,0.09389561881207897,1.0972336728517524,-0.16701111162002003,1.2861836236874162,0.9555259092661766,0.08982415646540609,1.0192688001166896,-0.16701111162002003,False,CAGR,False
cvol~BONLY~L0.313730~2~k20,cvol,20,BONLY,0.31373,2,MA-RS,0.5,M,0.08360713486473204,0.994906412870702,-0.21056209315711394,1.2236878644979186,0.8064920923051835,0.07491157372984802,0.8787636620457828,-0.2105620931571135,False,"H2,OOS,DD,CAGR",False
cvol~BONLY~L0.313730~2~k20,cvol,20,BONLY,0.31373,2,EWall,0.75,W,0.14287206390287976,1.0974992740357985,-0.2486253768944202,1.285503556006316,0.9589070128455374,0.13699825834071766,1.0223043832132712,-0.24862537689442,False,DD,False
cvol~BONLY~L0.313730~2~k20,cvol,20,BONLY,0.31373,2,MA-RS,0.75,W,0.12446142097070778,1.0056036398099137,-0.2759629760650012,1.2070628867882205,0.8341726732963833,0.11318667637576296,0.9097298789794632,-0.2759629760650011,False,"H2,DD",False
cvol~BONLY~L0.313730~2~k20,cvol,20,BONLY,0.31373,2,EWall,0.75,M,0.1417422749326922,1.0977264569705623,-0.24424105401900953,1.2891804003663434,0.9549406373588545,0.13506671770886758,1.0184239203673333,-0.24424105401900942,False,DD,False
cvol~BONLY~L0.313730~2~k20,cvol,20,BONLY,0.31373,2,MA-RS,0.75,M,0.1258864293709816,0.9990247256835307,-0.3014739438847742,1.229387019203561,0.8095133463080513,0.11205037882431235,0.8817352839798647,-0.3014739438847742,False,"H2,OOS,DD",False
cvol~BONLY~L0.313730~2~k20,cvol,20,BONLY,0.31373,2,EWall,1.0,W,0.19083787159975207,1.0978890387723557,-0.3207265864072607,1.2873814360148355,0.958508759496753,0.18218605243462793,1.0216703065025714,-0.3207265864072609,False,DD,False
cvol~BONLY~L0.313730~2~k20,cvol,20,BONLY,0.31373,2,MA-RS,1.0,W,0.1657748481035881,1.0070335644830373,-0.35341708909337943,1.2094729361821401,0.8351408780054148,0.15000835494754483,0.9105716787830935,-0.35341708909337954,False,"H2,DD",False
