,NAMED@1,NAMED@2,NAMED@3,NAMED@FWD,NAMED@ALL,vintage,topic,exposure_days,CTRL,n_head,OVERTURN@1,LATENAMED@1,SURVIVE@1,OVERTURN@2,LATENAMED@2,SURVIVE@2,OVERTURN@3,LATENAMED@3,SURVIVE@3,OVERTURN@FWD,LATENAMED@FWD,SURVIVE@FWD,KEEP4B_TXT,KEEP4B_DATA,KEEP4B_COV,KEEP4B,REPRO,REPRO_ANY
2026-09-05_sleeve-with-a-real-diversifier_cloud,1,1,1,1,3,2026-09-05,OTHER,7,3,18,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_stop-as-negative-insurance_cloud,0,0,0,0,1,2026-09-05,OTHER,7,3,9,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_the-20-percent-oracle-ceiling_C,0,0,0,0,2,2026-09-05,OTHER,7,3,30,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_the-CAGR-floor-is-what-kills-small-pools_cloud,0,0,0,0,1,2026-09-05,OTHER,7,1,32,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.9375,0.96875
2026-09-05_the-gross-ladder-is-not-a-rescaling_C,0,0,0,0,0,2026-09-05,MATCH,7,2,30,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_the-margin-column-instead-of-two_cloud,1,1,3,3,4,2026-09-05,OTHER,7,1,57,0,2,1.0,0,2,1.0,0,0,1.0,0,3,1.0,0.0,0.0,0,0.0,0.8771929824561403,0.9824561403508771
2026-09-05_the-null-column-for-instruments-that-are-not-keyed-tilts_cloud,0,0,2,2,4,2026-09-05,MATCH,7,2,1,0,2,1.0,0,2,1.0,0,0,1.0,0,2,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_the-on-share-column_cloud,1,1,5,7,13,2026-09-05,OTHER,7,2,27,2,6,0.0,2,6,0.0,2,2,0.0,2,7,0.0,1.0,0.0,0,1.0,0.9629629629629629,0.9629629629629629
2026-09-05_the-screen-is-a-book-size-rule_cloud,0,0,0,2,3,2026-09-05,KEEP,7,1,38,0,2,1.0,0,2,1.0,0,2,1.0,0,2,1.0,1.0,0.0,0,1.0,0.9473684210526315,1.0
2026-09-05_the-share-at-which-ranking-stops-paying_B,0,0,2,2,14,2026-09-05,OTHER,7,3,31,0,2,1.0,0,2,1.0,0,0,1.0,0,2,1.0,0.0,0.0,0,0.0,0.967741935483871,1.0
2026-09-05_the-share-at-which-ranking-stops-paying_cloud,0,0,2,2,6,2026-09-05,OTHER,7,1,11,0,2,1.0,0,2,1.0,0,0,1.0,0,2,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_the-sharpe-vs-4b-margin-sign-flip_C,0,0,0,0,2,2026-09-05,KEEP,7,2,32,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_the-sign-is-the-parameter-not-the-share_B,0,0,2,2,3,2026-09-05,OTHER,7,2,33,0,2,1.0,0,2,1.0,0,0,1.0,0,2,1.0,0.0,0.0,0,0.0,0.9393939393939394,1.0
2026-09-05_the-sign-is-the-parameter-not-the-share_cloud,0,0,3,3,5,2026-09-05,OTHER,7,1,25,0,3,1.0,0,3,1.0,0,0,1.0,0,3,1.0,0.0,0.0,0,0.0,0.88,1.0
2026-09-05_threshold-plateaus-are-the-general-case_cloud,0,1,1,2,2,2026-09-05,OTHER,7,1,5,0,2,1.0,0,1,1.0,0,1,1.0,0,2,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_v1u-small-negative-price_B,0,0,0,0,1,2026-09-05,OTHER,7,2,19,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_vol-threshold-sweep-on-ewall_B,0,0,0,0,1,2026-09-05,VOL,7,3,54,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_vol20-as-the-hidden-ranking-key_cloud,0,0,0,0,4,2026-09-05,VOL,7,2,22,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_weak-dominance-bands-as-the-calibration-output_C,0,0,0,0,0,2026-09-05,VOL,7,2,38,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-05_where-does-the-POS-tilt-stop-transferring_C,0,0,0,0,0,2026-09-05,OTHER,7,2,31,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.967741935483871,1.0
2026-09-05_which-asset-carries-S4_C,1,3,3,3,4,2026-09-05,OTHER,7,2,7,0,2,1.0,0,0,1.0,0,0,1.0,0,3,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_why-ddctl-is-cheap-on-small_cloud,0,0,0,0,0,2026-09-05,OTHER,7,2,8,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_why-the-IS-4b-screen-changes-no-pick_cloud,0,0,4,4,5,2026-09-05,KEEP,7,2,7,0,4,1.0,0,4,1.0,0,0,1.0,0,4,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-05_why-the-small-panel-wants-M-and-the-large-caps-6W_cloud,3,3,3,3,3,2026-09-05,MATCH,7,2,59,0,0,1.0,0,0,1.0,0,0,1.0,0,4,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_MA200-only-book-on-a-third-large-cap-panel_cloud,0,0,0,0,0,2026-09-06,MATCH,6,1,48,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,1.0,1,1.0,0.875,0.9375
2026-09-06_a-phase-averaged-cadence-as-the-honest-estimator_C,0,0,0,1,4,2026-09-06,GROSS,6,3,34,0,2,1.0,0,2,1.0,0,2,1.0,0,2,1.0,0.0,0.0,0,0.0,0.6764705882352942,0.8823529411764706
2026-09-06_abs-gate-bear-shape_B,0,0,0,0,1,2026-09-06,OTHER,6,2,16,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_arm-the-cheap-instruments-in-crashes-instead_cloud,0,0,1,1,7,2026-09-06,OTHER,6,2,25,0,1,1.0,0,1,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_audit-gross-normalisation-across-the-book_cloud,0,0,1,1,1,2026-09-06,CENSUS,6,1,9,0,1,1.0,0,1,1.0,0,0,1.0,0,1,1.0,1.0,0.0,0,1.0,0.7777777777777778,1.0
2026-09-06_back-fill-the-breakeven-column-arithmetically_B,0,0,0,0,0,2026-09-06,OTHER,6,1,29,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.9310344827586207,1.0
2026-09-06_back-fill-the-breakeven-column-arithmetically_cloud,0,0,0,0,0,2026-09-06,OTHER,6,1,13,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.5384615384615384,1.0
2026-09-06_back-fill-the-phase-spread-over-every-cadence-claim_cloud,0,0,0,1,3,2026-09-06,CENSUS,6,3,46,1,2,0.0,1,2,0.0,1,2,0.0,1,2,0.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-06_band-gate-execution-lag_B,0,0,0,0,0,2026-09-06,VOL,6,1,26,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.7692307692307693,0.9230769230769231
2026-09-06_band-gate-on-small-panel_B,0,5,5,5,6,2026-09-06,MATCH,6,2,43,1,6,0.0,0,0,1.0,0,0,1.0,1,6,0.0,1.0,0.0,0,1.0,0.9767441860465116,0.9767441860465116
2026-09-06_band-width-and-rebalance-frequency_cloud,0,0,0,0,0,2026-09-06,VOL,6,2,15,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,,
2026-09-06_band12-ewall-rw_PARK_MEMO,0,0,0,0,2,2026-09-06,KEEP,6,2,25,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,,
2026-09-06_cadence-sensitivity-as-a-KEEP-test_B,0,0,0,0,0,2026-09-06,GROSS,6,2,8,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,1,1,2,3,4,2026-09-06,MATCH,6,3,50,0,3,1.0,0,3,1.0,0,2,1.0,0,4,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-06_daily-plus-buffer30_PARK_MEMO,0,0,0,0,1,2026-09-06,KEEP,6,1,18,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,,
2026-09-06_delisting-aware-small-panel_B,0,0,0,0,0,2026-09-06,MATCH,6,1,10,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_dispersion-as-a-survivorship-detector_B,0,0,3,4,5,2026-09-06,OTHER,6,3,31,0,4,1.0,0,4,1.0,0,1,1.0,0,4,1.0,0.0,0.0,0,0.0,0.7741935483870968,0.967741935483871
2026-09-06_dispersion-as-a-survivorship-detector_cloud,0,0,0,1,1,2026-09-06,OTHER,6,1,1,1,1,0.0,1,1,0.0,1,1,0.0,1,1,0.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_do-the-18-majority-reversing-files-have-reversing-HEADLINES_cloud,0,0,1,1,1,2026-09-06,OTHER,6,1,18,0,1,1.0,0,1,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_does-a-pure-exposure-gate-exist-on-the-small-panel_C,0,0,10,11,12,2026-09-06,MATCH,6,3,42,5,17,0.0,5,17,0.0,2,2,0.0,5,17,0.0,0.0,0.0,0,0.0,0.9047619047619048,1.0
2026-09-06_does-any-dial-argmax-move-with-cost_C,0,8,8,8,10,2026-09-06,GROSS,6,3,27,4,15,0.0,0,0,1.0,0,0,1.0,4,15,0.0,0.0,0.0,0,0.0,0.9629629629629629,1.0
2026-09-06_does-any-panel-property-separate-at-FIXED-cap-mix_C,0,0,0,1,2,2026-09-06,MATCH,6,1,80,0,1,1.0,0,1,1.0,0,1,1.0,0,1,1.0,1.0,1.0,1,1.0,0.8,0.9
2026-09-06_does-every-regime-conditional-dial-lose-its-own-regime_C,0,5,6,6,6,2026-09-06,OTHER,6,2,38,0,6,1.0,0,1,1.0,0,0,1.0,0,6,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_does-reach-belong-beside-every-instrument-price_C,0,0,1,1,2,2026-09-06,OTHER,6,3,20,0,1,1.0,0,1,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_does-the-CORR-ordering-hold-off-q-0,0,0,6,6,7,2026-09-06,OTHER,6,3,78,1,6,0.0,1,6,0.0,0,0,1.0,1,6,0.0,1.0,1.0,1,1.0,0.8974358974358975,0.9615384615384616
2026-09-06_does-the-EXPOSURE-vs-TIMING-split-price-the-live-de-gross-clause-correctly_C,0,0,0,0,1,2026-09-06,GROSS,6,3,45,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.9777777777777777,1.0
2026-09-06_does-the-banded-slow-filter-survive-on-the-large-cap-panels_cloud,0,0,0,0,0,2026-09-06,MATCH,6,1,25,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.8,0.92
2026-09-06_does-the-cash-drag-share-depend-on-the-panel-or-on-the-gate-level_cloud,0,0,10,20,24,2026-09-06,MATCH,6,3,53,9,30,0.0,9,30,0.0,4,15,0.0,9,30,0.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_does-the-drawdown-phase-control-belong-on-every-cadence-row_C,0,0,0,0,1,2026-09-06,MATCH,6,3,63,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.8571428571428571,0.9682539682539683
2026-09-06_does-the-sharpe-cagr-reversal-sit-under-every-EWall-claim_C,0,0,1,1,4,2026-09-06,CENSUS,6,3,13,0,1,1.0,0,1,1.0,0,0,1.0,0,1,1.0,1.0,0.0,0,1.0,0.8461538461538461,1.0
2026-09-06_does-v2s-2017-2026-only-Sharpe-edge-have-a-regime-name_C,0,0,0,0,0,2026-09-06,VOL,6,2,49,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.9795918367346939
2026-09-06_drawdown-budget-T070-L252_PARK_MEMO,0,0,0,0,1,2026-09-06,MATCH,6,2,16,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,,
2026-09-06_drawdown-instrument-exchange-rate_cloud,0,1,1,1,4,2026-09-06,MATCH,6,2,10,0,1,1.0,0,0,1.0,0,0,1.0,0,1,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-06_every-published-reach-is-a-ladder-edge_C,0,0,1,1,1,2026-09-06,CENSUS,6,1,8,0,1,1.0,0,1,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_ew-all-broad-as-the-simple-book_B,0,0,0,0,1,2026-09-06,KEEP,6,2,46,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.717391304347826,0.9565217391304348
2026-09-06_ew-band3-at-085-does-not-hold-on-broad_cloud,0,1,1,2,2,2026-09-06,VOL,6,1,70,0,2,1.0,0,1,1.0,0,1,1.0,0,2,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_gate-instrument-speed-curve_cloud,0,2,3,3,4,2026-09-06,OTHER,6,1,13,2,3,0.0,0,1,1.0,0,0,1.0,2,3,0.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-06_holding-period-as-the-hidden-variable_cloud,0,0,0,0,1,2026-09-06,OTHER,6,2,16,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.9375,1.0
2026-09-06_how-many-published-gate-claims-are-flat-in-gross_cloud,0,0,0,0,0,2026-09-06,CENSUS,6,1,14,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_is-6W-a-grid-edge-or-a-real-optimum_B,0,0,0,0,3,2026-09-06,OTHER,6,1,38,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C,0,2,7,7,8,2026-09-06,OTHER,6,2,121,2,7,0.0,1,5,0.0,0,0,1.0,2,7,0.0,0.0,0.0,0,0.0,0.9752066115702479,1.0
2026-09-06_is-RAND-beating-FWD-persistence-or-pick_C,0,0,0,0,0,2026-09-06,OTHER,6,2,28,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_is-RULES-v2-only-a-de-grossing-effect_C,0,0,0,0,0,2026-09-06,GROSS,6,2,33,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,,
2026-09-06_is-breadth-a-small-cap-dummy-everywhere-in-the-record_cloud,0,0,3,13,14,2026-09-06,CENSUS,6,2,28,0,14,1.0,0,14,1.0,0,10,1.0,0,14,1.0,0.0,0.0,0,0.0,0.5357142857142857,0.9285714285714286
2026-09-06_is-cadence-the-only-cost-chooser-on-other-books_cloud,0,1,1,1,1,2026-09-06,GROSS,6,1,46,0,1,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,0.9782608695652174,1.0
2026-09-06_is-n20-a-constant-or-a-grid-edge_C,0,1,1,1,1,2026-09-06,OTHER,6,2,29,0,1,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,0.9655172413793104,1.0
2026-09-06_is-phase-sensitivity-a-book-property-or-a-panel-one_cloud,0,0,1,2,2,2026-09-06,MATCH,6,1,31,0,3,1.0,0,3,1.0,0,2,1.0,0,3,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_is-the-1bp-breakeven-general-to-the-records-null-arms_C,0,0,0,0,0,2026-09-06,CENSUS,6,2,58,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-06_is-the-de-gross-cost-a-cash-drag-identity_B,0,0,0,0,2,2026-09-06,GROSS,6,3,15,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.8,1.0
2026-09-06_is-the-de-gross-timing-residual-a-per-panel-CONSTANT_cloud,0,0,0,0,1,2026-09-06,MATCH,6,3,37,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.9459459459459459,0.9459459459459459
2026-09-06_is-the-gate-a-drawdown-instrument-on-every-panel_cloud,0,0,0,0,0,2026-09-06,MATCH,6,2,32,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,1.0,1,1.0,1.0,1.0
2026-09-06_is-the-low-price-tilt-a-split-artefact-or-a-survivorship-one_cloud,0,0,0,3,7,2026-09-06,OTHER,6,3,41,2,6,0.0,2,6,0.0,2,6,0.0,2,6,0.0,0.0,0.0,0,0.0,0.975609756097561,0.975609756097561
2026-09-06_is-the-m999-u56-buffer-book-a-4b-candidate_cloud,0,0,0,0,0,2026-09-06,KEEP,6,2,50,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,1.0,1,1.0,0.76,0.98
2026-09-06_is-the-negative-exposure-timing-residual-a-general-property-of-gates_B,0,0,0,0,4,2026-09-06,OTHER,6,3,16,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.9375,1.0
2026-09-06_is-the-null-key-result-one-draw-or-a-distribution_cloud,0,0,0,0,1,2026-09-06,MATCH,6,1,21,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.7142857142857143,0.9523809523809523
2026-09-06_is-the-reversal-share-a-function-of-n-over-n_elig_C,0,0,2,3,4,2026-09-06,OTHER,6,3,20,1,3,0.0,1,3,0.0,1,1,0.0,1,3,0.0,1.0,0.0,0,1.0,0.95,0.95
2026-09-06_is-the-sharpe-cagr-reversal-a-PANEL-property_C,0,0,2,2,3,2026-09-06,MATCH,6,2,84,0,2,1.0,0,2,1.0,0,0,1.0,0,2,1.0,0.0,0.0,0,0.0,0.9166666666666666,0.9761904761904762
2026-09-06_is-the-soft-200d-tilt-inside-the-score-doing-the-gate-s-job_cloud,0,0,0,0,0,2026-09-06,OTHER,6,1,17,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.8235294117647058,0.9411764705882353
2026-09-06_is-the-vol20-half-the-whole-small-panel-inversion_cloud,0,0,0,0,0,2026-09-06,MATCH,6,2,13,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,,
2026-09-06_is-within-stratum-CORR-a-SECTOR-concentration-proxy_C,0,0,0,1,1,2026-09-06,OTHER,6,1,41,0,1,1.0,0,1,1.0,0,1,1.0,0,1,1.0,1.0,1.0,1,1.0,0.5853658536585366,0.7804878048780488
2026-09-06_keep-candidate-universe-robustness_cloud,0,0,0,0,0,2026-09-06,KEEP,6,1,50,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,1.0,1,1.0,1.0,1.0
2026-09-06_locate-the-band-width-ceiling_cloud,0,0,0,0,0,2026-09-06,VOL,6,1,21,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_monthly-drawdown-cost_cloud,0,0,0,0,0,2026-09-06,MATCH,6,2,17,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,1.0,1,1.0,1.0,1.0
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_B,0,0,0,0,2,2026-09-06,OTHER,6,2,500,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.946,1.0
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud,0,0,0,0,1,2026-09-06,OTHER,6,1,59,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.9661016949152542,1.0
2026-09-06_persistence-vs-cost-as-a-required-column_cloud,0,0,0,0,1,2026-09-06,GROSS,6,1,5,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_point-in-time-megacap-panel_B,0,0,0,0,0,2026-09-06,MATCH,6,1,460,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.9695652173913043,0.9695652173913043
2026-09-06_price-the-four-unpriced-null-verdicts-on-their-own-books_B,0,0,0,0,0,2026-09-06,MATCH,6,2,58,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-06_price-the-post-crash-re-entry-lag_cloud,0,0,0,0,0,2026-09-06,OTHER,6,2,33,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.9393939393939394,1.0
2026-09-06_price-the-ranking-on-the-exchange-rate-menu_cloud,0,0,0,0,0,2026-09-06,OTHER,6,1,14,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.9285714285714286,1.0
2026-09-06_price-the-vol20-drawdown-purchase-against-the-cheaper-instruments_C,0,0,0,0,0,2026-09-06,MATCH,6,1,90,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,1.0,1,1.0,0.9666666666666667,1.0
2026-09-06_publish-the-cash-carve-out-beside-every-sleeve-MaxDD_C,0,0,0,0,0,2026-09-06,CENSUS,6,2,38,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_quote-every-n-argmax-with-its-saturation-share_cloud,0,0,0,0,1,2026-09-06,OTHER,6,2,12,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_ranking-subtracts-value_B,0,0,0,0,0,2026-09-06,OTHER,6,2,27,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.9629629629629629,1.0
2026-09-06_re-price-every-ranked-candidate-at-its-Sharpe-maximising-turnover_C,0,0,0,0,0,2026-09-06,GROSS,6,2,33,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,1.0,1,1.0,0.7878787878787878,0.9696969696969697
2026-09-06_re-quote-every-de-gross-claim-with-its-replay_cloud,0,0,0,0,1,2026-09-06,CENSUS,6,3,19,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.6842105263157895,0.9473684210526315
2026-09-06_re-read-every-published-clause-on-the-signed-statistic_C,0,0,0,0,0,2026-09-06,CENSUS,6,1,42,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.9523809523809523,0.9761904761904762
2026-09-06_small-cap-slower-trend_B,0,0,0,0,6,2026-09-06,OTHER,6,3,6,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.6666666666666666,1.0
2026-09-06_stop-only-in-crashes_B,0,0,0,0,0,2026-09-06,OTHER,6,2,39,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.8205128205128205,0.8205128205128205
2026-09-06_the-IS-chosen-substitute-arm-for-every-named-asset-set_C,0,0,0,0,0,2026-09-06,OTHER,6,1,44,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.36363636363636365,0.5454545454545454
2026-09-06_the-anchor-position-column_B,0,0,0,0,0,2026-09-06,OTHER,6,1,45,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.8666666666666667,0.9555555555555556
2026-09-06_the-hindsight-overlap-test-as-a-pre-registration-check_cloud,0,0,0,0,0,2026-09-06,OTHER,6,2,193,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.9378238341968912,0.9378238341968912
2026-09-06_the-trade-date-anchor-as-a-published-column_cloud,0,0,0,0,1,2026-09-06,CENSUS,6,1,75,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.9466666666666667,0.9733333333333334
2026-09-06_time-varying-share-vs-fixed-n_B,0,2,4,5,11,2026-09-06,OTHER,6,3,49,1,7,0.0,1,3,0.0,0,1,1.0,1,7,0.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_trend-filter-by-market-cap_B,0,2,3,3,4,2026-09-06,OTHER,6,2,48,0,3,1.0,0,1,1.0,0,0,1.0,0,3,1.0,0.0,1.0,1,1.0,1.0,1.0
2026-09-06_trend-filter-by-market-cap_cloud,0,1,1,1,2,2026-09-06,OTHER,6,3,10,1,1,0.0,0,0,1.0,0,0,1.0,1,1,0.0,1.0,0.0,0,1.0,0.8,0.8
2026-09-06_turnover-budget-the-broad-ranked-book_B,0,0,0,0,2,2026-09-06,GROSS,6,3,37,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,1.0,1,1.0,0.8648648648648649,0.9459459459459459
2026-09-06_vol20-gate-in-isolation_cloud,0,0,0,0,1,2026-09-06,VOL,6,2,47,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.8723404255319149,0.9148936170212766
2026-09-06_what-actually-moves-H2_B,0,0,0,0,2,2026-09-06,OTHER,6,3,79,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.8481012658227848,0.9493670886075949
2026-09-06_what-actually-moves-H2_cloud,0,0,0,0,0,2026-09-06,OTHER,6,1,21,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_what-modal-share-makes-a-mode-writable_cloud,0,7,7,7,7,2026-09-06,OTHER,6,1,56,0,7,1.0,0,0,1.0,0,0,1.0,0,7,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_what-predicts-a-panel_B,0,0,0,0,0,2026-09-06,MATCH,6,2,20,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.85,1.0
2026-09-06_where-selectivity-and-cost-cross_B,0,5,8,12,17,2026-09-06,GROSS,6,3,12,6,17,0.0,2,9,0.0,1,4,0.0,6,17,0.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-06_where-selectivity-and-cost-cross_cloud,0,0,0,0,0,2026-09-06,GROSS,6,1,54,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-06_why-is-MONTHLY-the-least-negative-cadence_cloud,0,0,0,0,1,2026-09-06,GROSS,6,3,9,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,1.0,1.0
