set,panel,form,IS_pick,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctrl_OOS_Sharpe,best_cell,best_OOS_Sharpe,regret,regret_vs_best,live_OOS_Sharpe,spy_OOS_Sharpe,picked_gate
OUT,U56,V2B12,OFF,1.1202477474245263,0.09020864000883644,1.1765153072117105,-0.12150488350184296,1.1765153072117105,B0.30_d1.00,1.2243536782160338,0.0,0.04783837100432331,1.285072363206482,0.8820107671822842,False
OUT,U56,EWALL_M,B0.40_d0.50,1.1362883005022733,0.1265136724573206,1.2523921693872757,-0.18761777163747317,1.1542405971959198,B0.30_d1.00,1.2646973183947334,-0.09815157219135595,0.012305149007457716,1.285072363206482,0.8820107671822842,True
OUT,B136,TOP5,OFF,0.9808729595969661,0.16050924299153935,0.8138426077132945,-0.23360448342667006,0.8138426077132945,B0.50_d0.50,0.8337736453876066,0.0,0.019931037674312035,1.1185082795688426,0.8820239235972316,False
OUT,B136,TOP40,OFF,1.0341940086244954,0.11784547596327943,0.9790278415998385,-0.19113372902660142,0.9790278415998385,B0.50_d0.50,1.0295955337070104,0.0,0.050567692107171935,1.1185082795688426,0.8820239235972316,False
OUT,B136,IVOL,B0.40_d0.25,1.1703785331384668,0.103271009082752,1.087167915574533,-0.20548712829385085,1.064019996709983,B0.50_d0.50,1.1766205722952283,-0.023147918864550032,0.08945265672069524,1.1185082795688426,0.8820239235972316,True
OUT,B136,LOWVOL20,OFF,1.0270941091752053,0.05585397911109791,0.714387225940572,-0.15537800156868742,0.714387225940572,B0.50_d1.00,0.9171188526829207,0.0,0.20273162674234868,1.1185082795688426,0.8820239235972316,False
OUT,B136,MOM20,B0.40_d0.50,1.1700772464401947,0.16529562112867002,1.006067352429339,-0.23439059024192155,1.0547263165789575,B0.50_d0.25,1.0608501096991103,0.048658964149618456,0.05478275726977122,1.1185082795688426,0.8820239235972316,True
OUT,B136,MAEW_RS,B0.40_d0.25,1.05585976935907,0.11386894942255466,1.0874385680009846,-0.19212003114809328,1.064516105449877,B0.50_d0.50,1.1719644339687407,-0.022922462551107525,0.08452586596775613,1.1185082795688426,0.8820239235972316,True
OUT,B136,V2B12,OFF,1.1357416996886076,0.08408520554101062,1.0908389797670264,-0.1481118990657625,1.0908389797670264,B0.50_d0.50,1.1400571088200302,0.0,0.04921812905300382,1.1185082795688426,0.8820239235972316,False
OUT,B136,EWALL_M,B0.40_d0.50,1.174707573692663,0.11731987223785967,1.1347611429957885,-0.21944803503783594,1.109225892006042,B0.50_d0.50,1.228987898363477,-0.025535250989746405,0.09422675536768854,1.1185082795688426,0.8820239235972316,True
OUT,SMALL439,TOP5,B0.40_d1.00,0.28099926012835824,0.023167243166197782,0.21386113470290563,-0.4528414497229787,0.41812453465509947,B0.30_d0.50,0.4323392637634399,0.20426339995219384,0.21847812906053427,0.5664863714962136,0.8820107671822842,True
OUT,SMALL439,TOP40,B0.40_d1.00,0.42206265812433097,0.03285128881800148,0.31858060361231016,-0.24270786546240375,0.4758146386702274,B0.30_d1.00,0.5064910304207443,0.15723403505791722,0.18791042680843412,0.5664863714962136,0.8820107671822842,True
OUT,SMALL439,IVOL,B0.40_d1.00,0.8520287708004404,0.03535492425790365,0.38178563606295285,-0.2058668034966804,0.55967362568027,B0.30_d0.50,0.5817267068972909,0.17788798961731717,0.19994107083433804,0.5664863714962136,0.8820107671822842,True
OUT,SMALL439,LOWVOL20,B0.40_d0.50,0.6562046598942948,0.03272595733181527,0.3899549822086769,-0.2119144061258117,0.40163797538111196,B0.30_d1.00,0.47911259796705535,0.011682993172435041,0.08915761575837844,0.5664863714962136,0.8820107671822842,True
OUT,SMALL439,MOM20,B0.40_d1.00,0.9069381872549263,0.029992615974571812,0.25042482379706876,-0.36695248923795765,0.6768456875351698,OFF,0.6768456875351698,0.42642086373810106,0.42642086373810106,0.5664863714962136,0.8820107671822842,True
OUT,SMALL439,MAEW_RS,B0.40_d1.00,0.6335674953153553,0.039001870542777484,0.3932602861459936,-0.24735604720600723,0.535474046054103,B0.30_d0.50,0.5664052716034753,0.14221375990810936,0.1731449854574817,0.5664863714962136,0.8820107671822842,True
OUT,SMALL439,V2B12,B0.40_d0.25,0.6841358726804595,0.041808656641647346,0.6129781730732033,-0.1499700536582539,0.6354840057259605,B0.30_d0.50,0.6408475796067511,0.022505832652757185,0.027869406533547747,0.5664863714962136,0.8820107671822842,True
OUT,SMALL439,EWALL_M,B0.40_d1.00,0.899285039284793,0.050265391539953796,0.4715332392178774,-0.22548094029995447,0.6238458517363087,B0.30_d0.50,0.6488480789458853,0.1523126125184313,0.17731483972800788,0.5664863714962136,0.8820107671822842,True
