panel,book,gross,denom,lookback,v,vtag,turnover_yr,heldset_fidelity_vs_INF,mean_N_in,mean_N_elig,reject_rate,mean_names_held,capped_share,max_name_w,med_name_w,mean_risk_gross,mean_sweep_w,max_row_sum
U56,CAND,1.0,RESPREAD,60,0.3,0.30,6.949106549181628,0.866173646578141,38.450337078651685,31.1,0.1911644380026183,30.1961797752809,0.0,0.5134160820952077,0.02708641475403816,0.962430486264497,0.03756951373550325,1.0000000000000016
U56,CAND,1.0,RESPREAD,60,0.4,0.40,6.2125570015339555,0.9363391215526047,38.450337078651685,34.949438202247194,0.09104988778754441,34.055280898876404,0.0,0.27650675550842757,0.024819112668805602,0.9685528635047184,0.031447136495281955,1.0000000000000016
U56,CAND,1.0,RESPREAD,60,0.6,0.60,5.934845667876207,0.980126659856997,38.450337078651685,37.35820224719101,0.028403777819337946,36.46359550561798,0.0,0.27650675550842757,0.023381103967064377,0.9721504631495661,0.027849536850434155,1.0000000000000016
U56,CAND,1.0,RESPREAD,60,inf,INF,5.679032812388824,1.0,38.450337078651685,38.450337078651685,0.0,37.55662921348315,0.0,0.22277389017616123,0.02285753659022946,0.9740067395142837,0.025993260485716384,1.0000000000000013
B136,CAP2,0.75,DEGROSS,20,0.3,0.30,6.751239276881878,0.8728683719690914,93.22009892086331,76.0445143884892,0.18424765400597623,75.13084532374101,0.0017834593125901454,0.02193255850955186,0.0070674331775060365,0.5759841688922394,0.4240158311077608,1.000000000000002
B136,CAP2,0.75,DEGROSS,20,0.4,0.40,5.7360881993408395,0.9479166666666666,93.22009892086331,86.16209532374101,0.07571332447430681,85.26236510791367,0.0021938209135471077,0.02315037370810364,0.007100948942748759,0.6627766366340473,0.33722336336595293,1.0000000000000022
B136,CAP2,0.75,DEGROSS,20,0.6,0.60,4.956863379264107,0.9872635225153211,93.22009892086331,91.50067446043165,0.018444782620229933,90.57419064748201,0.0024846478055173577,0.024531413545429176,0.0071346743214700465,0.7109755452372138,0.28902445476278643,1.0000000000000022
B136,CAP2,0.75,DEGROSS,20,inf,INF,4.675125426436814,1.0,93.22009892086331,93.22009892086331,0.0,92.29361510791367,0.0028402862696761686,0.02502299341834478,0.007142857142857143,0.728325017481858,0.2716749825181422,1.0000000000000022
B136,CAP2,0.75,DEGROSS,60,0.3,0.30,4.568748235201229,0.8608879563016254,93.22009892086331,74.49527877697842,0.20086676972721113,73.51348920863309,0.0019205597758939167,0.02186458940090424,0.007067577324861342,0.5639036908225236,0.4360963091774765,1.000000000000002
B136,CAP2,0.75,DEGROSS,60,0.4,0.40,4.6183827332950385,0.9436101119104716,93.22009892086331,85.61128597122303,0.0816220218356514,84.68098021582733,0.002177023902129501,0.02308319601988499,0.007098793338300297,0.6576107739609365,0.34238922603906374,1.0000000000000022
B136,CAP2,0.75,DEGROSS,60,0.6,0.60,4.665548175054275,0.9860095257127631,93.22009892086331,91.33026079136691,0.020272861232433683,90.40490107913669,0.002586286217332594,0.02331047389464916,0.007127635419984134,0.7089945680748213,0.2910054319251789,1.0000000000000022
B136,CAP2,0.75,DEGROSS,60,inf,INF,4.675125426436814,1.0,93.22009892086331,93.22009892086331,0.0,92.29361510791367,0.0028402862696761686,0.02502299341834478,0.007142857142857143,0.728325017481858,0.2716749825181422,1.0000000000000022
B136,CAP2,0.75,RESPREAD,20,0.3,0.30,7.812698259636156,0.8728683719690914,93.22009892086331,76.0445143884892,0.18424765400597623,75.13084532374101,0.007777199250707698,0.02249656091835971,0.008152173913043478,0.6932574608232275,0.3067425391767728,1.0000000000000022
B136,CAP2,0.75,RESPREAD,20,0.4,0.40,5.902028633511486,0.9479166666666666,93.22009892086331,86.16209532374101,0.07571332447430681,85.26236510791367,0.0048358985041411,0.02315037370810364,0.007520382827402131,0.7134637096728973,0.28653629032710287,1.0000000000000024
B136,CAP2,0.75,RESPREAD,20,0.6,0.60,4.942737432841729,0.9872635225153211,93.22009892086331,91.50067446043165,0.018444782620229933,90.57419064748201,0.0031225643749658704,0.024531413545429176,0.007225095635855165,0.7237649175191517,0.2762350824808485,1.0000000000000024
B136,CAP2,0.75,RESPREAD,20,inf,INF,4.675125426436814,1.0,93.22009892086331,93.22009892086331,0.0,92.29361510791367,0.0028402862696761686,0.02502299341834478,0.007142857142857143,0.728325017481858,0.2716749825181422,1.0000000000000022
B136,CAP2,0.75,RESPREAD,60,0.3,0.30,5.294054233016241,0.8608879563016254,93.22009892086331,74.49527877697842,0.20086676972721113,73.51348920863309,0.00843761850587789,0.023488872392958174,0.00831517801604965,0.6885778533304749,0.3114221466695253,1.0000000000000022
B136,CAP2,0.75,RESPREAD,60,0.4,0.40,4.812159796315882,0.9436101119104716,93.22009892086331,85.61128597122303,0.0816220218356514,84.68098021582733,0.004858480171825594,0.02308319601988499,0.0075163696638500576,0.709200881603068,0.2907991183969322,1.0000000000000024
B136,CAP2,0.75,RESPREAD,60,0.6,0.60,4.705506150099978,0.9860095257127631,93.22009892086331,91.33026079136691,0.020272861232433683,90.40490107913669,0.0033671457098733964,0.02331047389464916,0.007198823531787755,0.7217997830461125,0.27820021695388775,1.0000000000000022
B136,CAP2,0.75,RESPREAD,60,inf,INF,4.675125426436814,1.0,93.22009892086331,93.22009892086331,0.0,92.29361510791367,0.0028402862696761686,0.02502299341834478,0.007142857142857143,0.728325017481858,0.2716749825181422,1.0000000000000022
B136,CAP2,1.0,DEGROSS,20,0.3,0.30,8.693693765511258,0.8728683719690914,93.22009892086331,76.0445143884892,0.18424765400597623,75.13084532374101,0.0049942845515318,0.02217567505859851,0.009424890644691136,0.7601686735864774,0.23983132641352292,1.0000000000000027
B136,CAP2,1.0,DEGROSS,20,0.4,0.40,7.3267552022776945,0.9479166666666666,93.22009892086331,86.16209532374101,0.07571332447430681,85.26236510791367,0.006056738748098205,0.02315037370810364,0.009467929214464273,0.8727284274741515,0.12727157252584884,1.000000000000003
B136,CAP2,1.0,DEGROSS,20,0.6,0.60,6.28138066831525,0.9872635225153211,93.22009892086331,91.50067446043165,0.018444782620229933,90.57419064748201,0.0069277243008980475,0.024531413545429176,0.009511948741276428,0.9347259954560156,0.0652740045439849,1.0000000000000033
B136,CAP2,1.0,DEGROSS,20,inf,INF,5.829629100658773,1.0,93.22009892086331,93.22009892086331,0.0,92.29361510791367,0.00752213036085764,0.02502299341834478,0.009523809523809525,0.9563154568940531,0.0436845431059477,1.0000000000000033
B136,CAP2,1.0,DEGROSS,60,0.3,0.30,5.838013701496472,0.8608879563016254,93.22009892086331,74.49527877697842,0.20086676972721113,73.51348920863309,0.005379402302225158,0.022281240469862233,0.009424630289320174,0.7434762612526692,0.25652373874733087,1.0000000000000027
B136,CAP2,1.0,DEGROSS,60,0.4,0.40,5.884539900482868,0.9436101119104716,93.22009892086331,85.61128597122303,0.0816220218356514,84.68098021582733,0.006085047297171727,0.02308319601988499,0.009465512656718772,0.8658154542969001,0.1341845457031001,1.000000000000003
