panel,kind,q,breadth,gross,D_size,D_share,reversal,n_pairs,sel_argmax,sel_premium
MIX q=0.75 d6,mix,0.75,0.3988855421686748,1.0,0.11853425474573681,-0.023612843174018905,0.5,6,,
MIX q=0.75 d7,mix,0.75,0.3645481927710843,0.75,-0.033433624754373836,-0.002120677968063034,0.16666666666666666,6,0.75,0.03604559672079233
MIX q=0.75 d7,mix,0.75,0.3645481927710843,1.0,-0.03313586225359455,-0.0019217217962871347,0.16666666666666666,6,,
MIX q=1.00 d0,mix,1.0,0.33195783132530116,0.75,0.0480782836611921,0.09744525348379457,0.8333333333333334,6,0.25,0.30549445415815546
MIX q=1.00 d0,mix,1.0,0.33195783132530116,1.0,0.04819084364686416,0.09925458034498458,0.8333333333333334,6,,
MIX q=1.00 d1,mix,1.0,0.3086746987951807,0.75,-0.08028245088883301,0.04050806425535469,0.16666666666666666,6,0.25,0.029809035182553623
MIX q=1.00 d1,mix,1.0,0.3086746987951807,1.0,-0.07893323048450884,0.04493142497605429,0.16666666666666666,6,,
MIX q=1.00 d2,mix,1.0,0.31671686746987954,0.75,-0.014260432957022146,0.014995719734787,0.0,6,0.9,0.036183065543029136
MIX q=1.00 d2,mix,1.0,0.31671686746987954,1.0,-0.014969908743713067,0.018936434557033532,0.0,6,,
MIX q=1.00 d3,mix,1.0,0.3059036144578313,0.75,0.03640226628346044,0.05514050570575546,0.3333333333333333,6,1.0,0.0
MIX q=1.00 d3,mix,1.0,0.3059036144578313,1.0,0.036256043728276566,0.05658756377339791,0.3333333333333333,6,,
MIX q=1.00 d4,mix,1.0,0.3024698795180723,0.75,-0.101081494444453,0.12461032039596823,0.0,6,0.5,0.18997621922320662
MIX q=1.00 d4,mix,1.0,0.3024698795180723,1.0,-0.1004531119284654,0.12433543411927217,0.0,6,,
MIX q=1.00 d5,mix,1.0,0.34283132530120486,0.75,0.1186813400794125,-0.05554744496135833,0.5,6,0.9,0.04147636942102784
MIX q=1.00 d5,mix,1.0,0.34283132530120486,1.0,0.1184268270195391,-0.05303757607444726,0.5,6,,
MIX q=1.00 d6,mix,1.0,0.32466867469879523,0.75,-0.12178122437106265,0.23542695763838375,0.16666666666666666,6,0.5,0.14916379609021274
MIX q=1.00 d6,mix,1.0,0.32466867469879523,1.0,-0.12145851893954673,0.2345362757911149,0.16666666666666666,6,,
MIX q=1.00 d7,mix,1.0,0.3426807228915662,0.75,0.03557405235929617,-0.06240311621825834,0.0,6,1.0,0.0
MIX q=1.00 d7,mix,1.0,0.3426807228915662,1.0,0.03580963658384141,-0.05866658510675381,0.0,6,,
U56,named,0.0,0.6571484071484072,0.75,0.17908588070065223,-0.05120524511488034,0.6666666666666666,6,0.9,0.03660712945879596
U56,named,0.0,0.6571484071484072,1.0,0.17741351773096947,-0.050674716552245425,0.6666666666666666,6,,
B136,named,0.0,0.6619132501485443,0.75,0.07043188115385213,0.0056785806325825305,1.0,6,0.9,0.0029425162997716026
B136,named,0.0,0.6619132501485443,1.0,0.06828076376775549,0.004838711580676169,1.0,6,,
SMALL439,named,1.0,0.3223838406015863,0.75,-0.06337627100900572,-0.029550036496204357,0.0,6,0.5,0.10835513967398497
SMALL439,named,1.0,0.3223838406015863,1.0,-0.06611960409952422,-0.030270752239018983,0.0,6,,
