arm,panel,cost_bps,chooser,imposed_lag,pick_lag,pick_gross,pick_turnover_yr,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,base_OOS_CAGR,base_OOS_Sharpe,base_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,full4b,pick_is_t1,beats_spy_oos,beats_base_oos
WF-B,B136,25.0,C_ISSHARPE,3.0,3,0.75,4.696602082703884,0.10946842633013287,1.003685692704651,-0.1973647652367817,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,False
WF-B,B136,25.0,C_ISCALMAR,3.0,3,0.75,4.696602082703884,0.10946842633013287,1.003685692704651,-0.1973647652367817,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,False
WF-B,B136,25.0,C_ISSHARPE,5.0,5,0.75,4.729077987583691,0.10863443347568924,0.9822666019742593,-0.20705476953164814,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,True,False
WF-B,B136,25.0,C_ISCALMAR,5.0,5,0.75,4.729077987583691,0.10863443347568924,0.9822666019742593,-0.20705476953164814,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,True,False
WF-B,B136,50.0,C_ISSHARPE,1.0,1,0.75,4.675125426436814,0.09527458603872074,0.9105523613820905,-0.193140200371554,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,True,True,False
WF-B,B136,50.0,C_ISCALMAR,1.0,1,0.75,4.675125426436814,0.09527458603872074,0.9105523613820905,-0.193140200371554,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,True,True,False
WF-B,B136,50.0,C_ISSHARPE,2.0,2,0.75,4.701075275223242,0.09082274164257198,0.8539422061358451,-0.2027721888056957,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,False,False
WF-B,B136,50.0,C_ISCALMAR,2.0,2,0.75,4.701075275223242,0.09082274164257198,0.8539422061358451,-0.2027721888056957,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,False,False
WF-B,B136,50.0,C_ISSHARPE,3.0,3,0.75,4.696602082703884,0.09618250123774463,0.8935266394378989,-0.19885390794565183,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,True,False
WF-B,B136,50.0,C_ISCALMAR,3.0,3,0.75,4.696602082703884,0.09618250123774463,0.8935266394378989,-0.19885390794565183,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,True,False
WF-B,B136,50.0,C_ISSHARPE,5.0,5,0.75,4.729077987583691,0.09523148184967178,0.8726354943671076,-0.21072221755907228,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,False,False
WF-B,B136,50.0,C_ISCALMAR,5.0,5,0.75,4.729077987583691,0.09523148184967178,0.8726354943671076,-0.21072221755907228,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,False,False
