book,instr,rung,chooser,floor,IS,OOS,OOS_CAGR,OOS_DD,CAGR,Sharpe,MaxDD,pass4a,pass4b,v2_OOS,spy_OOS
EWGATE,VOLSH,10.0,C no floor,0.0,0.4210587848758904,0.29095981782086194,0.03139636424374004,-0.39980691311185357,0.03666279912702519,0.3361134342060475,-0.39980691311185323,0,0,0.5664863714962137,0.8820107009842559
EWGATE,VOLSH,25.0,A capacity (IS),500000.0,0.21685578469407163,0.031129618279052185,-0.006396827599378874,-0.44972117142550594,0.003984025740315644,0.10069559666341954,-0.44972117142550483,0,0,0.5055965085014015,0.8820107009842559
EWGATE,VOLSH,25.0,B IS-Sharpe,250000.0,0.29867005641290323,0.08510076372947864,0.0017338850925554539,-0.4294972097392252,0.01336068382330402,0.16457009489132318,-0.42949720973922423,0,0,0.5055965085014015,0.8820107009842559
EWGATE,VOLSH,25.0,C no floor,0.0,0.281061082145709,0.13528981693967163,0.009127886131771623,-0.41964145710116674,0.016069110282892707,0.18622878506092036,-0.41964145710116685,0,0,0.5055965085014015,0.8820107009842559
RANK20,DV,10.0,A capacity (IS),500000.0,0.6673610151273369,0.2952778287977231,0.03240294816211464,-0.3740812880065495,0.0523150046311156,0.4336986762674196,-0.37408128800655027,0,0,0.5664863714962137,0.8820107009842559
RANK20,DV,10.0,B IS-Sharpe,0.0,0.7698490594350538,0.2866688102518212,0.030216123170629494,-0.35630074296406655,0.05212364948741843,0.45545659319062126,-0.35630074296406566,0,0,0.5664863714962137,0.8820107009842559
RANK20,DV,10.0,C no floor,0.0,0.7698490594350538,0.2866688102518212,0.030216123170629494,-0.35630074296406655,0.05212364948741843,0.45545659319062126,-0.35630074296406566,0,0,0.5664863714962137,0.8820107009842559
RANK20,DV,25.0,A capacity (IS),500000.0,0.4332656461473743,0.030925868565729406,-0.005812057435727769,-0.4079873182451351,0.015589211035168304,0.18056742921516722,-0.407987318245137,0,0,0.5055965085014015,0.8820107009842559
RANK20,DV,25.0,B IS-Sharpe,0.0,0.4782548898592324,0.0034340389273244377,-0.008879946925832716,-0.39284817644680126,0.013708828586701971,0.16981056262238908,-0.3928481764468019,0,0,0.5055965085014015,0.8820107009842559
RANK20,DV,25.0,C no floor,0.0,0.4782548898592324,0.0034340389273244377,-0.008879946925832716,-0.39284817644680126,0.013708828586701971,0.16981056262238908,-0.3928481764468019,0,0,0.5055965085014015,0.8820107009842559
RANK20,VOLSH,10.0,A capacity (IS),500000.0,0.5655047810188808,0.24094094196555046,0.024783070504248217,-0.37354782263221964,0.04224644552400303,0.36077765771795445,-0.37354782263221864,0,0,0.5664863714962137,0.8820107009842559
RANK20,VOLSH,10.0,B IS-Sharpe,250000.0,0.8299159074997817,0.19882890122078142,0.01830579975993074,-0.3697600557748971,0.05174062067119256,0.43131677943828,-0.3697600557748958,0,0,0.5664863714962137,0.8820107009842559
RANK20,VOLSH,10.0,C no floor,0.0,0.7698490594350538,0.2866688102518212,0.030216123170629494,-0.35630074296406655,0.05212364948741843,0.45545659319062126,-0.35630074296406566,0,0,0.5664863714962137,0.8820107009842559
RANK20,VOLSH,25.0,A capacity (IS),500000.0,0.3333840250167181,-0.01635173381659282,-0.013057931536706757,-0.4106325306741285,0.005871051702039054,0.11280944671277718,-0.41063253067412964,0,0,0.5055965085014015,0.8820107009842559
RANK20,VOLSH,25.0,B IS-Sharpe,250000.0,0.5840683562901439,-0.06717135666545085,-0.01965267640065571,-0.40424276009342575,0.01444609785828277,0.17272257176605557,-0.40424276009342597,0,0,0.5055965085014015,0.8820107009842559
RANK20,VOLSH,25.0,C no floor,0.0,0.4782548898592324,0.0034340389273244377,-0.008879946925832716,-0.39284817644680126,0.013708828586701971,0.16981056262238908,-0.3928481764468019,0,0,0.5055965085014015,0.8820107009842559
