panel,est,frac,L,obj,se_COMP,se_PAIRED,se_BOOKONLY
B136,BLOCK5,0.125,555,b136-qroll-q012-w1008-d050-g100,0.639383817400558,0.3320012459823627,0.6574019467337918
B136,BLOCK5,0.125,555,b136-r620-gross065-W,0.639383817400558,0.3924194416042914,0.642653984161462
B136,BLOCK5,0.25,1111,SPY,0.4593967219644487,,
B136,BLOCK5,0.25,1111,b136-qroll-q012-w1008-d050-g100,0.4593967219644487,0.2418363190009875,0.47453691720183194
B136,BLOCK5,0.25,1111,b136-r620-gross065-W,0.4593967219644487,0.2787113264394012,0.465649072633379
B136,BLOCK5,0.375,1666,SPY,0.3797986763699206,,
B136,BLOCK5,0.375,1666,b136-qroll-q012-w1008-d050-g100,0.3797986763699206,0.1974952688388579,0.39595041096586714
B136,BLOCK5,0.375,1666,b136-r620-gross065-W,0.3797986763699206,0.22413509920479827,0.3777805882150675
B136,BLOCK5,0.5,2222,SPY,0.316886437973178,,
B136,BLOCK5,0.5,2222,b136-qroll-q012-w1008-d050-g100,0.316886437973178,0.16988659907689782,0.3416157798831925
B136,BLOCK5,0.5,2222,b136-r620-gross065-W,0.316886437973178,0.19779173202068354,0.32314466935716696
B136,BLOCK5,0.75,3332,SPY,0.264477785407239,,
B136,BLOCK5,0.75,3332,b136-qroll-q012-w1008-d050-g100,0.264477785407239,0.14510105162937711,0.2719605448425347
B136,BLOCK5,0.75,3332,b136-r620-gross065-W,0.264477785407239,0.15837879049914014,0.2643757597683509
B136,BLOCK5,1.0,4443,SPY,0.2280260768492014,,
B136,BLOCK5,1.0,4443,b136-qroll-q012-w1008-d050-g100,0.2280260768492014,0.11467207276087357,0.23286833907687401
B136,BLOCK5,1.0,4443,b136-r620-gross065-W,0.2280260768492014,0.13718949313595583,0.22402944022040944
B136,IID,0.125,555,SPY,0.6933046956912658,,
B136,IID,0.125,555,b136-qroll-q012-w1008-d050-g100,0.6933046956912658,0.37280812260469726,0.7241617508963918
B136,IID,0.125,555,b136-r620-gross065-W,0.6933046956912658,0.4408205903610578,0.71465784470562
B136,IID,0.25,1111,SPY,0.4702245031618976,,
B136,IID,0.25,1111,b136-qroll-q012-w1008-d050-g100,0.4702245031618976,0.2677472663784932,0.4785668589556514
B136,IID,0.25,1111,b136-r620-gross065-W,0.4702245031618976,0.29928309854365515,0.48698690889131324
B136,IID,0.375,1666,SPY,0.39850580302754707,,
B136,IID,0.375,1666,b136-qroll-q012-w1008-d050-g100,0.39850580302754707,0.2256794124624072,0.39234421201083514
B136,IID,0.375,1666,b136-r620-gross065-W,0.39850580302754707,0.25300736416918523,0.4078944886677654
B136,IID,0.5,2222,SPY,0.3286053561604923,,
B136,IID,0.5,2222,b136-qroll-q012-w1008-d050-g100,0.3286053561604923,0.18526740172715192,0.33430048396359097
B136,IID,0.5,2222,b136-r620-gross065-W,0.3286053561604923,0.21212444102018496,0.340523675646912
B136,IID,0.75,3332,SPY,0.2859418871261836,,
B136,IID,0.75,3332,b136-qroll-q012-w1008-d050-g100,0.2859418871261836,0.15938639046363606,0.2928072544894212
B136,IID,0.75,3332,b136-r620-gross065-W,0.2859418871261836,0.17710985057485074,0.2948711035135475
B136,IID,1.0,4443,SPY,0.24118880946515459,,
B136,IID,1.0,4443,b136-qroll-q012-w1008-d050-g100,0.24118880946515459,0.13501768004592365,0.24398427630594444
B136,IID,1.0,4443,b136-r620-gross065-W,0.24118880946515459,0.15265927890077727,0.24049339627038033
