panel,family,mode,theta,gross,turn_yr,window,CAGR,Sharpe,MaxDD,H1,H2,beta_FULL,beta_DOWN,beta_ROLL,beta_DDWIN,dd_ratio,leg_DDCAP,leg_CAGR,leg_H1,leg_H2,pass4b,pass4a
U56,TREND,HYB,0.2,0.5,1.2179292607722307,OOS,0.0631105644906389,1.2877788998306217,-0.08117568893512117,1.4158687706854225,1.1474451312535494,0.2088246536068673,0.19870475328644485,0.2255727018459241,,0.24075405408590586,True,False,True,True,False,True
U56,TREND,HYB,0.2,0.75,1.80834629560591,FULL,0.086248771546384,1.2034715873322668,-0.1205494795164489,1.225099530204897,1.1873287227357192,0.3099355536107294,0.2875096776337936,0.4122079863291403,,0.3575303923164369,True,False,True,True,False,False
U56,TREND,HYB,0.2,0.75,1.80834629560591,IS,0.07548398413208202,1.096524214836173,-0.07887184188036067,0.9030338474826468,1.3483428918653553,0.3049786279213183,0.2701998664316125,0.41171492510904234,0.18957448150355632,0.3574992197557562,True,False,True,True,False,False
U56,TREND,HYB,0.2,0.75,1.80834629560591,OOS,0.09519501017085119,1.28722862487561,-0.12054947951644901,1.4139413683384243,1.148393905031516,0.3135753779955697,0.29854077743174573,0.3384118182661494,,0.35753039231643746,True,False,True,True,False,False
U56,TREND,HYB,0.2,1.0,2.398519861832001,FULL,0.11540475562694708,1.2032979707381188,-0.15910995440549025,1.2256239707528604,1.186583759651497,0.41355597488793905,0.38379055311181864,0.5498107445011557,,0.47189456684699477,True,True,True,True,True,False
U56,TREND,HYB,0.2,1.0,2.398519861832001,IS,0.1007971176365492,1.0969896953300715,-0.10451924613333374,0.9025495499191144,1.349995978355094,0.4067276636631129,0.3603680313898867,0.548956698737165,0.25290526943076225,0.4737501756178815,True,False,True,True,False,False
U56,TREND,HYB,0.2,1.0,2.398519861832001,OOS,0.12758037157347202,1.2865281648934526,-0.15910995440549058,1.411833645714548,1.1492281517776308,0.41857013397086845,0.3987170083410546,0.45128938110225264,,0.47189456684699604,True,True,True,True,True,False
U56,TREND,HYB,0.4,0.25,0.6639576126537013,FULL,0.027492768335865225,1.1780142557317947,-0.040991620882531166,1.1859335284296992,1.17366223001546,0.09449373528971229,0.08472791012289176,0.13216619906979343,,0.12157456303092747,True,False,True,True,False,False
U56,TREND,HYB,0.4,0.25,0.6639576126537013,IS,0.02376125081179925,1.052508682263079,-0.032217849911661434,0.848957051992868,1.3193421911256913,0.09458925182883882,0.08136556048768663,0.13223248132992005,0.06360056337303564,0.14603255016027467,True,False,True,True,False,False
U56,TREND,HYB,0.4,0.25,0.6639576126537013,OOS,0.030576083634558326,1.2765105280780178,-0.040991620882531055,1.410220409322589,1.1297835866979036,0.09442198454129153,0.08687203657256871,0.1017311989923266,,0.12157456303092722,True,False,True,True,False,False
U56,TREND,HYB,0.4,0.5,1.3109711764927043,FULL,0.05519513933343445,1.1780891914998346,-0.08117568893512084,1.186718498171807,1.1731377160878973,0.18912765158983114,0.16966648582371982,0.2643184875192613,,0.2407540540859047,True,False,True,True,False,False
U56,TREND,HYB,0.4,0.5,1.3109711764927043,IS,0.04759160143818031,1.0532289724981194,-0.06392848850640676,0.8488356343304218,1.3211234716248401,0.18921846293347638,0.16277817349069099,0.2644709307155613,0.1272931911501098,0.28976608402112203,True,False,True,True,False,False
U56,TREND,HYB,0.4,0.5,1.3109711764927043,OOS,0.06149848230691379,1.2760436167239264,-0.08117568893512117,1.4085179033339934,1.130645299794839,0.18905783173146445,0.1740589461454873,0.2034777256695373,,0.24075405408590586,True,False,True,True,False,False
U56,TREND,HYB,0.4,0.75,1.9488004226918398,FULL,0.08307454232913969,1.1780398516932205,-0.12054947951644879,1.1873914219960284,1.172480779124853,0.2839102911932142,0.254824588305569,0.3966015937136521,,0.3575303923164366,True,False,True,True,False,False
