panel,band,gross,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,turnover_yr,mean_r,Ebar,ubar,cov,mean_c,exposure_leg,timing_leg,cost_leg,ann_mean,breadth,realised_breadth
U56,0.08,1.0,0.11367693601075812,1.1439139554635542,-0.1905060478611259,1.2436822851104492,1.0619257310263233,0.10609268530102467,1.1226081240349868,-0.11217666938372506,0.11996718309904564,1.161615279891426,-0.1905060478611259,1.2413133814248463,1.0758991663940412,1.4828233752293662,0.0004466067177475587,0.6771932083770644,0.0007010139461347724,-2.2230945809540806e-05,5.8842197429736756e-06,0.11962991459161844,-0.0056021983440042835,-0.0014828233752293663,0.1125448928723848,0.6771932083770644,0.6771932083770644
U56,0.12,0.5,0.05761032748379713,1.1460219843365584,-0.08181038469216517,1.239347800339524,1.0615784596310525,0.05549796558551323,1.1197012905446169,-0.06600267358833534,0.05935457728632709,1.1671274257921282,-0.08181038469216528,1.2740437107117122,1.052268018464021,0.6306223772156019,0.0002272546533205814,0.33947603173051893,0.0007354959562948091,-1.992612552536801e-05,2.502469750855563e-06,0.06292017864639486,-0.005021383632392738,-0.0006306223772156018,0.05726817263678651,0.33947603173051893,0.6789520634610379
U56,0.12,0.6,0.0692260723869047,1.14603299610494,-0.09778520191481033,1.2395769728661787,1.0614277486069725,0.06667576716817036,1.1199337980421256,-0.0789078060221986,0.0713326938190253,1.1669577433587932,-0.09778520191481055,1.2734620677932378,1.0525067967740263,0.7481935803540912,0.00027280038096412013,0.4073269053273038,0.0007354959562948091,-2.381788864992805e-05,2.9690221442622665e-06,0.07549599752309426,-0.006002107939781868,-0.0007481935803540911,0.06874569600295827,0.4073269053273038,0.6788781755455063
U56,0.12,0.75,0.0866964855762693,1.146011154404995,-0.12150486414025163,1.2398825124049613,1.0611654697723811,0.08348013509746477,1.1202460424356069,-0.09808078097110218,0.08935467482340598,1.166663506217747,-0.12150486414025141,1.2725431305552763,1.052832590968755,0.9216635658505672,0.00034117223402849444,0.5090769932448941,0.0007354959562948091,-2.959444084326346e-05,3.6573951025816166e-06,0.09435486563353354,-0.007457799092502391,-0.0009216635658505673,0.0859754029751806,0.5090769932448941,0.6787693243265255
U56,0.12,0.85,0.09837063819231084,1.1459693006366862,-0.13715596918719364,1.240057818405228,1.0609659186810227,0.09470424568681901,1.1204269187661569,-0.11074019459574025,0.10140181864739906,1.166440144706972,-0.1371559691871942,1.2718980833533597,1.0530282715013681,1.0362690937206205,0.00038678673286322873,0.5768933672143355,0.000735495956294809,-3.340382699287556e-05,4.112178943335796e-06,0.1069242901774589,-0.00841776440220464,-0.0010362690937206205,0.09747025668153364,0.5768933672143355,0.6786980790756888
U56,0.12,1.0,0.1159151464700956,1.1458603983609277,-0.1603891210641527,1.2402761181004083,1.0606216104603625,0.11156523479142977,1.1206548830779604,-0.12954468975133626,0.11951326861701062,1.1660569066268114,-0.16038912106415248,1.2708760836514275,1.0532804353647927,1.2085732196547094,0.0004552528689353943,0.6785931979959591,0.0007354959562948091,-3.905375868497605e-05,4.795925474820275e-06,0.12577384337998807,-0.009841547188613964,-0.0012085732196547092,0.11472372297171936,0.6785931979959591,0.6785931979959591
U56,0.2,0.5,0.0567885259673202,1.111757220561692,-0.08159298395823178,1.2056357212120223,1.0319917186086334,0.05446080514895413,1.0991419651771197,-0.06684782430235148,0.058710965791533676,1.1220926763370467,-0.08159298395823156,1.264436318775515,0.9850188062452868,0.4958635461661548,0.00022434364060905848,0.3045291656960965,0.0007888104360880194,-1.3904430900413801e-05,1.9677124847863284e-06,0.060534377566553166,-0.003503916586904278,-0.0004958635461661548,0.056534597433482735,0.3045291656960965,0.609058331392193
U56,0.2,0.6,0.06822740964756657,1.1119732191822498,-0.09735378544389961,1.2057957103175692,1.0322854611089542,0.06541283540488951,1.099299561321333,-0.08001921222813513,0.0705528551719925,1.1223570768812168,-0.09735378544390028,1.2642158487370752,0.9856402223189716,0.5854980619068305,0.0002693412225452332,0.36539580504764174,0.0007888104360880194,-1.6563396771563217e-05,2.3234050075667876e-06,0.07263346212973952,-0.004173975986433931,-0.0005854980619068305,0.06787398808139877,0.36539580504764174,0.6089930084127363
U56,0.2,0.75,0.08542524426093934,1.1122668414359071,-0.12065195079547963,1.2060077786787617,1.0326950117397269,0.08186752548051013,1.0995087437299087,-0.09964512545338944,0.08836641667920198,1.122720983404662,-0.12065195079547952,1.2638538604271232,0.9865364952753052,0.7159163033437981,0.00033691363404981676,0.45667255161914166,0.0007888104360880195,-2.0473502830625142e-05,2.840937711681738e-06,0.09077747479721518,-0.005159322713317535,-0.000715916303343798,0.08490223578055382,0.45667255161914166,0.6088967354921889
U56,0.2,0.85,0.09691306842539249,1.1124412833751591,-0.13595722942123878,1.2061282255237142,1.0329473576458206,0.09285142449221562,1.0996277338717657,-0.11264001522730205,0.10027214320771605,1.1229417220289655,-0.13595722942123856,1.2635907035324379,0.9871108816732055,0.8008367111767907,0.00038201101990568547,0.5175086413523382,0.0007888104360880194,-2.302727370172014e-05,3.1779234570507563e-06,0.102870486700243,-0.005802872972833476,-0.0008008367111767906,0.09626677701623274,0.5175086413523382,0.6088336957086332
