legset,wstart,cost,kind,panel,book,gross,cadence,binding,rec_h1,rec_h2,disj_h1,disj_h2,spy_h1,spy_h2
REC5,2012-01-01,5.0,DESTROYED,U56,TOP10,0.5,M,L_H1,1.2337498064334742,1.0754812474996829,1.4331767967879807,1.2858179287518736,1.8067534942921046,0.567150494209081
REC5,2012-01-01,5.0,DESTROYED,U56,TOP10,0.65,W,L_H1,0.9693960522991943,0.9864965197104446,1.152810300903135,1.2165256674839608,1.8067534942921046,0.567150494209081
REC5,2012-01-01,5.0,DESTROYED,U56,TOP10,0.75,W,L_H1,0.969948971176093,0.9871451342940165,1.1543523456168232,1.2167797474618383,1.8067534942921046,0.567150494209081
REC5,2012-01-01,5.0,DESTROYED,U56,TOP20,0.65,W,L_H1,1.1385780290621161,1.1299139302920833,1.5338204037716774,0.9777811426987627,1.8067534942921046,0.567150494209081
REC5,2012-01-01,5.0,DESTROYED,U56,TOP20,0.65,M,L_H1,1.2337868842488553,1.2150707842094561,1.5061207757540045,0.9641888964091287,1.8067534942921046,0.567150494209081
REC5,2012-01-01,5.0,DESTROYED,U56,TOP20,0.75,W,L_H1,1.1385839051729802,1.1300554559188498,1.5349880114931567,0.9773656448316793,1.8067534942921046,0.567150494209081
REC5,2012-01-01,5.0,DESTROYED,U56,TOP20,0.75,M,L_H1,1.235115232652411,1.215899618322953,1.507492375135971,0.9649408871126075,1.8067534942921046,0.567150494209081
REC5,2012-01-01,5.0,DESTROYED,U56,EWELIG,0.75,W,L_H1,1.1145758236286654,1.0638456669824974,1.7025025531204423,0.7127218807697998,1.8067534942921046,0.567150494209081
REC5,2012-01-01,5.0,DESTROYED,U56,EWELIG,0.75,M,L_H1,1.1629630633004067,1.1531695626287108,1.7050337915910192,0.7118612028435191,1.8067534942921046,0.567150494209081
REC5,2012-01-01,5.0,DESTROYED,U56,BAND03,1.0,W,L_H1,1.2452697883583668,1.1876208405162234,1.7379902950184467,0.7666227974988896,1.8067534942921046,0.567150494209081
REC5,2012-01-01,5.0,DESTROYED,U56,BAND03,1.0,M,L_H1,1.2272782206785655,1.143585569632774,1.673864693056708,0.8619294761074092,1.8067534942921046,0.567150494209081
REC5,2012-01-01,5.0,DESTROYED,B136,TOP10,0.5,M,L_H1,1.3029904849914935,0.9313685739710466,1.7530664184210536,1.2943851582519463,1.8068237869507007,0.5671795096429402
REC5,2012-01-01,5.0,DESTROYED,B136,TOP20,0.65,W,L_H1,1.1913058054509402,0.8434221148824419,1.6422972762108896,0.9322363768065497,1.8068237869507007,0.5671795096429402
REC5,2012-01-01,5.0,DESTROYED,B136,TOP20,0.75,W,L_H1,1.1922254509542796,0.8441132876100849,1.6440742325810453,0.9328139469798545,1.8068237869507007,0.5671795096429402
REC5,2012-01-01,5.0,DESTROYED,B136,BAND03,1.0,W,L_H1,1.2486174298137456,0.979673730932306,1.7526327615652553,0.6941529034099293,1.8068237869507007,0.5671795096429402
REC5,2012-01-01,10.0,DESTROYED,U56,TOP10,0.5,M,L_H1,1.2116563482722793,1.0556642920027666,1.4066955106944634,1.2665576339653049,1.8067534942921046,0.567150494209081
REC5,2012-01-01,10.0,DESTROYED,U56,TOP20,0.65,W,L_H1,1.0936596428878476,1.0905087532400037,1.4851842548940901,0.9290652515775093,1.8067534942921046,0.567150494209081
REC5,2012-01-01,10.0,DESTROYED,U56,TOP20,0.65,M,L_H1,1.214604736125588,1.1981347590781528,1.483474174876162,0.9451585538520685,1.8067534942921046,0.567150494209081
REC5,2012-01-01,10.0,DESTROYED,U56,TOP20,0.75,W,L_H1,1.0937243021178327,1.090716772740829,1.4864148349879829,0.9287129487325008,1.8067534942921046,0.567150494209081
REC5,2012-01-01,10.0,DESTROYED,U56,TOP20,0.75,M,L_H1,1.215979520254964,1.1990053067866455,1.4848884835691494,0.94595794666864,1.8067534942921046,0.567150494209081
REC5,2012-01-01,10.0,DESTROYED,U56,EWELIG,0.75,M,L_H1,1.1461605795883643,1.1346675566594313,1.689782112704462,0.6924537133944022,1.8067534942921046,0.567150494209081
