panel,book,is_sharpe,is_beta,is_dd_all,is_quiet_dd_q040
B136,"('LOWVOL', 5, 0.75)",1.086924235510645,0.040832509982725425,-0.05122901505032473,-0.024994092349481245
B136,"('LOWVOL', 5, 1.0)",1.087305837353868,0.05451722322077685,-0.06788207441098726,-0.03322685374361256
B136,"('LOWVOL', 10, 0.25)",0.8496833129215787,0.07210261381791373,-0.02377153974790025,-0.0061152848235273005
B136,"('LOWVOL', 10, 0.5)",0.8503542441904044,0.14434577795028483,-0.047312929392234526,-0.012217032730799327
B136,"('LOWVOL', 10, 0.75)",0.8509650702465816,0.2167376914028399,-0.07062364464157056,-0.018305496215266226
B136,"('LOWVOL', 10, 1.0)",0.8515227366693319,0.28928630389758364,-0.09370283680454827,-0.024380926656582758
B136,"('LOWVOL', 20, 0.25)",1.134144910024657,0.10561746843387851,-0.026142892156042485,-0.004448019123318048
B136,"('LOWVOL', 20, 0.5)",1.1359465794825885,0.2114312339299285,-0.05223260872273938,-0.008860746783472151
B136,"('LOWVOL', 20, 0.75)",1.1376739213667244,0.3174588279765519,-0.07826563229358485,-0.013238709601893106
B136,"('LOWVOL', 20, 1.0)",1.1393221035965915,0.42371842277819227,-0.10423755961855785,-0.017582340989005685
B136,"('LOWVOL', 40, 0.25)",1.1356820784963018,0.13679276380830527,-0.027596991687047434,-0.004160283113677776
B136,"('LOWVOL', 40, 0.5)",1.1384009301650204,0.27402196419979,-0.054824878016345835,-0.008289710131928252
B136,"('LOWVOL', 40, 0.75)",1.1410672849470473,0.4117228069400498,-0.08168812777825107,-0.01238890702395945
B136,"('LOWVOL', 40, 1.0)",1.1436687459282895,0.5499324019646809,-0.10819126222095887,-0.016458482940885255
B136,"('LOWVOL', 'ALL', 0.25)",1.0442812897857991,0.18285937566822394,-0.03743900870217853,-0.005835076246623383
B136,"('LOWVOL', 'ALL', 0.5)",1.0478461449299885,0.3666063298354262,-0.07421737265044637,-0.011604046587068928
B136,"('LOWVOL', 'ALL', 0.75)",1.0514009857324935,0.5513259440040158,-0.1103432387892681,-0.017308078194610443
B136,"('LOWVOL', 'ALL', 1.0)",1.0549479360511826,0.7371087189422828,-0.14582438747879434,-0.02294831114249729
SMALL,"('MOM', 5, 0.25)",0.2587834792763154,0.2681613570450361,-0.13345000340098,-0.03992606713605651
SMALL,"('MOM', 5, 0.5)",0.26423142591602705,0.5395123576286792,-0.25251151196382426,-0.07906937591375363
SMALL,"('MOM', 5, 0.75)",0.2699555870826367,0.8146458685321554,-0.3585280220449094,-0.11743826626098441
SMALL,"('MOM', 5, 1.0)",0.27605787367090384,1.0942092153365686,-0.4526667419438841,-0.15504280517869973
SMALL,"('MOM', 10, 0.25)",0.6749379803020885,0.2739587747109205,-0.07443365871801921,-0.01665341666637865
SMALL,"('MOM', 10, 0.5)",0.6790802712640255,0.5505720088554233,-0.14372151897504082,-0.03296397509929594
SMALL,"('MOM', 10, 0.75)",0.6834449573313838,0.8302488182451543,-0.20830615949762366,-0.04930825578606313
SMALL,"('MOM', 10, 1.0)",0.6880671075030755,1.113438057614175,-0.2685772257281551,-0.06556410203669838
SMALL,"('MOM', 20, 0.25)",0.7952370626504767,0.2495891409014353,-0.06019553015653456,-0.011681806341981571
SMALL,"('MOM', 20, 0.5)",0.797688498789511,0.5016479362459461,-0.11754033809508024,-0.022716910014818237
SMALL,"('MOM', 20, 0.75)",0.8002930903338319,0.7564285782389231,-0.17213935839443928,-0.033157566601512256
SMALL,"('MOM', 20, 1.0)",0.8030808220009368,1.0142066366893383,-0.22473623033513657,-0.04306689232027838
SMALL,"('MOM', 40, 0.25)",0.6941198225946217,0.23370591157102563,-0.052974236360753046,-0.009698200018918635
SMALL,"('MOM', 40, 0.5)",0.698084684109008,0.46976417132463794,-0.10443447202913714,-0.019127911035583645
SMALL,"('MOM', 40, 0.75)",0.702156924851274,0.7084060882458305,-0.15443608749857762,-0.02830233969542928
SMALL,"('MOM', 40, 1.0)",0.706365781725522,0.9498872532132828,-0.2030316082456315,-0.03728387450163151
SMALL,"('MOM', 'ALL', 0.25)",0.9464365448409516,0.19854069204305916,-0.04657296451978776,-0.008415767562902743
SMALL,"('MOM', 'ALL', 0.5)",0.9484123640025468,0.3988418652664174,-0.09145888557840154,-0.016654931640298964
SMALL,"('MOM', 'ALL', 0.75)",0.9504568994069846,0.6010486466985637,-0.1347040928773604,-0.02472484986682888
SMALL,"('MOM', 'ALL', 1.0)",0.9525739454978093,0.805319767301677,-0.17635377862989976,-0.032632486923531046
SMALL,"('MOMVS', 5, 0.25)",1.297313282358144,0.09505226439208418,-0.05674495583617345,-0.01972064257607875
SMALL,"('MOMVS', 5, 0.5)",1.3019615666071591,0.18989974483517139,-0.11169793637129544,-0.03844120376778759
SMALL,"('MOMVS', 5, 0.75)",1.3063909261056486,0.2845779093895715,-0.16480983619743195,-0.056234086632437674
SMALL,"('MOMVS', 5, 1.0)",1.3106048313031222,0.3791209551984856,-0.21604136901259208,-0.07316487367392677
SMALL,"('MOMVS', 10, 0.25)",1.396944510523871,0.1158636455215723,-0.04006626538733726,-0.022346313271881635
SMALL,"('MOMVS', 10, 0.5)",1.400212508224695,0.23174241135566956,-0.07964996117220957,-0.04399088138019713
