panel,mech,freq,hold,rule,tax_hard_pp,tax_soft_pp,tax_recovered,rebate_kept,CAGR_soft,CAGR_hard,CAGR_H0,Sharpe_soft,Sharpe_hard,Sharpe_H0,MaxDD_soft,MaxDD_hard,MaxDD_H0,turn_soft,turn_hard,turn_H0,pass4b_soft,pass4b_hard,pass4a_soft
B136,R3_84,Q,5,R_GATE,0.0,0.0,,,0.1458695941592809,0.1458695941592809,0.1458695941592809,0.952994446197125,0.952994446197125,0.952994446197125,-0.2790326126117788,-0.2790326126117788,-0.2790326126117788,3.5163002916638146,3.5163002916638146,3.5163002916638146,False,False,False
B136,MOMONLY,D,5,R_GATE,-1.5999326875060893,-0.39158356486742596,0.7552499752487646,0.7468035502007027,0.13155664845414838,0.14719761116375563,0.12220020110194829,0.9346846477218241,1.005095899106959,0.8756842656502485,-0.2258657591024824,-0.21378226787609578,-0.22978159475115667,20.82801363181911,17.720491085478777,29.993659010240723,False,False,False
B136,MOMONLY,W,5,R_GATE,0.14603773007865195,0.14603773007862975,1.5210055437364645e-13,0.7686101855992608,0.1359964599403134,0.13637810950656837,0.13781161154647714,0.9471452152022302,0.9482060594547997,0.9573010731807862,-0.21191063997817594,-0.21191063997817616,-0.21045026267738964,11.914524858941466,11.671346324703833,12.722293769678556,False,False,False
B136,MOMONLY,M,5,R_GATE,0.0,0.0,,,0.16529103506393894,0.16529103506393894,0.16529103506393894,1.0798921454850456,1.0798921454850456,1.0798921454850456,-0.2751180464124756,-0.2751180464124756,-0.2751180464124756,5.600502998393876,5.600502998393876,5.600502998393876,False,False,False
B136,MOMONLY,Q,5,R_GATE,0.0,0.0,,,0.1432692887124496,0.1432692887124496,0.1432692887124496,0.9405900666040609,0.9405900666040609,0.9405900666040609,-0.2760053985147133,-0.2760053985147133,-0.2760053985147133,2.8637340216417484,2.8637340216417484,2.8637340216417484,False,False,False
U56,CAND20,D,21,R_GATE,1.8514801002084802,-0.5196493817940961,1.2806670089165866,0.7326214906426031,0.12483068574857503,0.14203112004859975,0.1130695366733796,1.065254658225495,1.1132252374527998,0.9702146811938596,-0.17817566905036608,-0.20188696387039184,-0.18337216286830704,13.121256017565576,8.488302520691708,25.815624406091022,True,True,False
U56,CAND20,W,21,R_GATE,1.9332745192399026,-0.5770440686605482,1.298480150086198,0.6547316827373523,0.13041458875093626,0.14353247083583587,0.1272724603341857,1.0894372950154494,1.1152259223790748,1.0606524904455705,-0.17731307833543064,-0.20241626421443515,-0.18308351902203612,7.748454685003068,6.14345584006961,10.792011078668367,True,False,False
U56,CAND20,M,21,R_GATE,5.740242270224072,-4.440892098500626e-14,1.0000000000000078,0.7072594331754991,0.15100443099533822,0.14833756570431778,0.152627171790098,1.2038433792956116,1.11991327587494,1.2121060493482891,-0.19506866657348376,-0.2524710892757249,-0.1950686665734842,4.381146896962105,4.21968865599296,4.771229027457567,True,False,False
U56,CAND20,Q,21,R_GATE,0.0,0.0,,,0.14296023614426545,0.14296023614426545,0.14296023614426545,1.0543557918897755,1.0543557918897755,1.0543557918897755,-0.2712234865349642,-0.2712234865349642,-0.2712234865349642,2.7021204302825117,2.7021204302825117,2.7021204302825117,False,False,False
U56,R3_84,D,21,R_GATE,-0.044239461684070225,-1.3686363685571412,-29.937003219683405,0.7247134130811883,0.12543310047085532,0.1448363882652921,0.11276377450129704,1.0676952890608826,1.1235277610187264,0.9647459283009512,-0.17846962196974658,-0.1917135910384773,-0.192155985655318,12.714084996247554,8.16547338219735,24.688659872906005,True,True,False
