panel,q,w,depth,gross,rung,leg,start,days,live_share,CAGR,Sharpe,MaxDD,H1,H2,UNGATED_CAGR,UNGATED_Sharpe,UNGATED_MaxDD,V2_Sharpe,V2_CAGR,V2_MaxDD,SPY_CAGR,SPY_Sharpe,SPY_MaxDD,SPY_H1,SPY_H2,pass4a,pass4b,fail4b
U56,0.12,2016,0.5,1.0,25.0,LIVE,2016-01-05,2687,1.0,0.13249062200078376,1.0789167635003314,-0.21668598511913562,1.0594718974817197,1.1033306813805634,0.12691640096633083,0.96540199352538,-0.21077670739710574,1.2324120845511173,0.08935691401033785,-0.12092632430399441,0.1517294309775976,0.8854325741361005,-0.3371723528339833,0.9274881790064916,0.8409928146698945,False,False,DDCAP
U56,0.12,2016,0.5,1.0,25.0,OOS,2017-01-03,2436,1.0,0.13768999857703235,1.1075624766227077,-0.21668598511913562,1.2372139979583756,0.9664460614836209,0.13151476216103286,0.9829285925025385,-0.21077670739710586,1.241406438552039,0.09181569023107472,-0.12092632430399464,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,False,False,DDCAP
U56,0.12,2016,1.0,1.0,0.0,RAW,2009-01-13,4443,0.604771550753995,0.1521368933757865,1.2083613869809107,-0.22102188815812174,1.1572302688542584,1.2600830814672996,0.1506609069434668,1.128599914407742,-0.20748563439191448,1.226867660750899,0.08821007359904964,-0.12029813984958915,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,False,DDCAP
U56,0.12,2016,1.0,1.0,0.0,LIVE,2016-01-05,2687,1.0,0.16132871290711193,1.3221924135974448,-0.22102188815812152,1.2549543709965565,1.4056907698460186,0.15886970327962424,1.1764787972628852,-0.2074856343919146,1.2958526131995,0.09430699714007473,-0.1202981398495887,0.1517294309775976,0.8854325741361005,-0.3371723528339833,0.9274881790064916,0.8409928146698945,False,False,DDCAP
U56,0.12,2016,1.0,1.0,0.0,OOS,2017-01-03,2436,1.0,0.1659629318116822,1.3482404920830735,-0.22102188815812185,1.4132973863499037,1.2800419078403154,0.16324002497052392,1.1886075896434396,-0.2074856343919146,1.3027736471519475,0.09670513420063886,-0.12029813984958881,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,False,False,DDCAP
U56,0.12,2016,1.0,1.0,10.0,RAW,2009-01-13,4443,0.604771550753995,0.14099406900728173,1.1293761334334091,-0.222630373406002,1.076044893697834,1.1833479852586235,0.13823901504957914,1.046219320763306,-0.20880282084818413,1.201840627126638,0.08628162162824915,-0.12054943679771146,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,False,DDCAP
U56,0.12,2016,1.0,1.0,10.0,LIVE,2016-01-05,2687,1.0,0.15057521888018877,1.2433906320050905,-0.22263037340600178,1.1835607782882305,1.3181361270382523,0.14598506232492925,1.09220399343745,-0.20880282084818402,1.2704931453582904,0.09232435728146271,-0.12054943679771135,0.1517294309775976,0.8854325741361005,-0.3371723528339833,0.9274881790064916,0.8409928146698945,False,False,DDCAP
U56,0.12,2016,1.0,1.0,10.0,OOS,2017-01-03,2436,1.0,0.15553243566636432,1.2725128947483049,-0.2226303734060019,1.3514656712626114,1.187975651204072,0.15044855171922333,1.1064861009700002,-0.2088028208481839,1.2782424661570655,0.09474682024310699,-0.12054943679771168,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,False,False,DDCAP
U56,0.12,2016,1.0,1.0,25.0,RAW,2009-01-13,4443,0.604771550753995,0.12447323602302385,1.0105450681471013,-0.2250399409995465,0.9539731121405932,1.0678283324627986,0.11984788631833698,0.9223261899150016,-0.21077670739710552,1.1642615600830166,0.08339513295117529,-0.12092632430399441,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,False,H1+DDCAP
U56,0.12,2016,1.0,1.0,25.0,LIVE,2016-01-05,2687,1.0,0.1346231522797563,1.1247249956074783,-0.2250399409995466,1.076215218171077,1.186026923827398,0.12691640096633083,0.96540199352538,-0.21077670739710574,1.2324120845511173,0.08935691401033785,-0.12092632430399441,0.1517294309775976,0.8854325741361005,-0.3371723528339833,0.9274881790064916,0.8409928146698945,False,False,DDCAP
