panel,kind,q,k,draw,arm,n,Ebar,breadth,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,spy_S,spy_CAGR,spy_DD,spy_H1,spy_H2,spy_OOS_S,v2_S,v2_H1,v2_H2,v2_DD,v2_OOS_S,pass4a,pass4b
MIX q=1.00 k=40 d1,mix,1.0,40.0,1,EWall,,13.337349397590362,0.33343373493975903,-0.008601087971294663,0.041479218176634046,-0.5816176458715903,-0.018828302212057953,0.085564257869722,0.007857550346556552,0.1383015758346555,-0.5323550756728523,-0.15158099635456423,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.41286686172895193,0.3669278354003217,0.45454989494012676,-0.2159319759272883,0.42458506081762704,False,False
MIX q=1.00 k=40 d2,mix,1.0,40.0,2,CAND5,5.0,14.1,0.35250000000000004,0.030851215797719878,0.25623524218310423,-0.659650947660098,0.5818823953040556,-0.002190690513972189,0.012262731295972662,0.16048091196521647,-0.659650947660098,0.4450261755389297,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.7278982180470086,0.9920138379580672,0.5276750736336916,-0.18315601033605677,0.6680319593768097,False,False
MIX q=1.00 k=40 d2,mix,1.0,40.0,2,CAND10,10.0,14.1,0.35250000000000004,0.044429618274878235,0.373661062644111,-0.49665684971226287,0.6595409023654775,0.15136627179968254,0.04243412030244431,0.34674611491219137,-0.49665684971226165,0.4314946359434837,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.7278982180470086,0.9920138379580672,0.5276750736336916,-0.18315601033605677,0.6680319593768097,False,False
MIX q=1.00 k=40 d2,mix,1.0,40.0,2,CAND15,15.0,14.1,0.35250000000000004,0.03167112827611995,0.3190789910801896,-0.39423669886260726,0.6750014068757272,0.03431567559083709,0.015711295296182204,0.185646979516945,-0.39423669886260737,0.5836499365791772,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.7278982180470086,0.9920138379580672,0.5276750736336916,-0.18315601033605677,0.6680319593768097,False,False
MIX q=1.00 k=40 d2,mix,1.0,40.0,2,CAND20,20.0,14.1,0.35250000000000004,0.03276818355589883,0.3754316987906836,-0.3148137011931845,0.6790125179515311,0.13132608055766312,0.01976891737386155,0.23860134308410708,-0.31481370119318675,0.6456020869416423,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.7278982180470086,0.9920138379580672,0.5276750736336916,-0.18315601033605677,0.6680319593768097,False,False
MIX q=1.00 k=40 d2,mix,1.0,40.0,2,CAND30,30.0,14.1,0.35250000000000004,0.022526717212098868,0.36234460801552243,-0.22918255083106487,0.6934076924549448,0.10543751247519045,0.013396989216014177,0.21938369176391748,-0.22918255083106343,0.652308730246311,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.7278982180470086,0.9920138379580672,0.5276750736336916,-0.18315601033605677,0.6680319593768097,False,False
MIX q=1.00 k=40 d2,mix,1.0,40.0,2,EWall,,14.1,0.35250000000000004,0.03664565868391367,0.31038060076182217,-0.4835404049348242,0.6037082372052638,0.11946696019512423,0.023883407647899535,0.22416603685268663,-0.48354040493482486,0.5025537701776139,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.7278982180470086,0.9920138379580672,0.5276750736336916,-0.18315601033605677,0.6680319593768097,False,False
MIX q=1.00 k=60 d0,mix,1.0,60.0,0,CAND5,5.0,16.50602409638554,0.2751004016064257,0.02714361782192709,0.23308873027673427,-0.38320874862648713,0.17384197662782902,0.28212816097062937,0.025655910739156074,0.22517648635404514,-0.38320874862648757,0.25089925739568253,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.44234859652019576,0.3563743856094426,0.5180949085674816,-0.1452099348145195,0.45657341217062386,False,False
MIX q=1.00 k=60 d0,mix,1.0,60.0,0,CAND10,10.0,16.50602409638554,0.2751004016064257,0.029557926392526745,0.26328955234109586,-0.37192410081461513,0.04384249560845322,0.43449098236185946,0.04657964856152952,0.35457152223333027,-0.3719241008146158,0.08862749049034904,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.44234859652019576,0.3563743856094426,0.5180949085674816,-0.1452099348145195,0.45657341217062386,False,False
MIX q=1.00 k=60 d0,mix,1.0,60.0,0,CAND15,15.0,16.50602409638554,0.2751004016064257,0.027618344888949764,0.26967607716931363,-0.2813922633952368,0.3118341826232731,0.24247580875963803,0.027432704623583826,0.259794588420534,-0.28139226339523626,0.2929481188146058,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.44234859652019576,0.3563743856094426,0.5180949085674816,-0.1452099348145195,0.45657341217062386,False,False
