panel,conv,band,cad,CAGR,Sharpe,MaxDD,H1,H2,OOS,Turnover,path4a,path4b,failing
B136,rw,0.05,M,0.12536704901047346,1.0874819718771684,-0.23180889276269856,1.1851420303673976,1.0101851717770702,1.0968701116030954,2.659845550880772,False,False,DD
B136,rw,0.08,W,0.12618653517672707,1.1102439791672518,-0.2067923606513823,1.2107975056035603,1.0257926777222983,1.1127817022065185,2.722157929878902,False,False,DD
B136,rw,0.08,M,0.1287505929565258,1.105645165141441,-0.24216818456556655,1.2114574061080627,1.0236528268593286,1.1074621779511042,2.0678976039588526,False,False,DD
B136,dg,none,W,0.14178077774478903,1.1237184720356246,-0.2536484248157904,1.233318891739456,1.02540523555152,1.1038155359718698,0.8706782939699557,False,False,DD
B136,dg,none,M,0.140511433897329,1.124085126647221,-0.24989934048374218,1.226384831775997,1.0310143579281126,1.110887141578747,0.426915610795965,False,False,DD
B136,dg,0.00,W,0.07783377984291584,1.0952045306735803,-0.1264131055960045,1.201432962517043,0.9902842880067054,1.1259641865897,3.3294966990743924,False,False,CAGR
B136,dg,0.00,M,0.08435860243311133,1.1352522471401512,-0.12294302459481987,1.2454987316977864,1.0236027362294806,1.1551063214363844,1.5933522245083391,False,False,CAGR
B136,dg,0.02,W,0.0806065812711616,1.1185317351089061,-0.12196720445490716,1.228761134971878,1.0094359888887743,1.141036339087136,2.377065735017687,False,False,CAGR
B136,dg,0.02,M,0.0844815801034553,1.114345723365533,-0.1441800822884035,1.2328665251877338,0.9978733681668491,1.1239614976985182,1.4843365653332086,False,False,CAGR
B136,dg,0.03,W,0.08034199584015167,1.1078049683658702,-0.12178128651163933,1.23124936086813,0.986083419602645,1.1206044691812698,2.0182347355390844,True,False,CAGR
B136,dg,0.03,M,0.0840297241868837,1.0949523584077339,-0.1560917061849716,1.2171552857310461,0.9775529971201067,1.0987172650755042,1.395883919296701,False,False,CAGR
B136,dg,0.05,W,0.08036223949602328,1.0880446686856735,-0.1308252331555898,1.215111983230236,0.9629851759988666,1.0973551473051308,1.591473255659527,False,False,CAGR
B136,dg,0.05,M,0.08534578418952488,1.0820813813691978,-0.17633634756060534,1.2281233295182126,0.9468574399260391,1.064680600330322,1.182424279760476,False,False,CAGR
B136,dg,0.08,W,0.08588963557380369,1.1274108521605894,-0.14771278701030977,1.2740401286954732,0.9859242662436009,1.1138968642664804,1.231701391716695,False,False,CAGR
B136,dg,0.08,M,0.08794845574500454,1.0691930303578374,-0.20337373563319705,1.2599522522742446,0.9038964752787322,1.021212357243536,0.9143673942635576,False,False,"DD,CAGR"
